"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_d","Text_f","Text_i"
4001,90.6,90.6,9.4,"Aarau AG","Aarau (AG)","Aarau AG","Aarau hat den Verpflichtungskredit über 61 Millionen Franken für eine Verdichtung des Bahnangebots der Regio-S-Bahn Stein-Säckingen–Laufenburg mit 90,6 Prozent angenommen.",,
4002,61.5,61.5,38.5,"Biberstein AG","Biberstein (AG)","Biberstein AG","Mit 61,5 Prozent Ja hat sich Biberstein für den Verpflichtungskredit über 61 Millionen Franken für eine Verdichtung des Bahnangebots der Regio-S-Bahn Stein-Säckingen–Laufenburg ausgesprochen.",,
4003,85.9,85.9,14.1,"Buchs AG","Buchs (AG)","Buchs AG","85,9 Prozent der Stimmbürgerinnen und Stimmbürger von Buchs AG haben dem Verpflichtungskredit über 61 Millionen Franken für eine Verdichtung des Bahnangebots der Regio-S-Bahn Stein-Säckingen–Laufenburg zugestimmt.",,
4004,94,94,6,"Densbüren AG","Densbüren (AG)","Densbüren AG","Densbüren hat den Verpflichtungskredit über 61 Millionen Franken für eine Verdichtung des Bahnangebots der Regio-S-Bahn Stein-Säckingen–Laufenburg mit 94 Prozent angenommen.",,
4005,26.5,26.5,73.5,"Erlinsbach AG","Erlinsbach (AG)","Erlinsbach AG","Keine Mehrheit für den Verpflichtungskredit über 61 Millionen Franken für eine Verdichtung des Bahnangebots der Regio-S-Bahn Stein-Säckingen–Laufenburg in Erlinsbach AG. 73,5 Prozent haben sie verworfen.",,
4006,87.8,87.8,12.2,"Gränichen AG","Gränichen (AG)","Gränichen AG","87,8 Prozent der Stimmbürgerinnen und Stimmbürger von Gränichen haben dem Verpflichtungskredit über 61 Millionen Franken für eine Verdichtung des Bahnangebots der Regio-S-Bahn Stein-Säckingen–Laufenburg zugestimmt.",,
4007,4,4,96,"Hirschthal AG","Hirschthal (AG)","Hirschthal AG","Hirschthal hat den Verpflichtungskredit über 61 Millionen Franken für eine Verdichtung des Bahnangebots der Regio-S-Bahn Stein-Säckingen–Laufenburg  mit 96 Prozent abgelehnt.",,
4008,46.8,46.8,53.2,"Küttigen AG","Küttigen (AG)","Küttigen AG","Keine Mehrheit für den Verpflichtungskredit über 61 Millionen Franken für eine Verdichtung des Bahnangebots der Regio-S-Bahn Stein-Säckingen–Laufenburg in Küttigen. 53,2 Prozent haben sie verworfen.",,
4009,31.5,31.5,68.5,"Muhen AG","Muhen (AG)","Muhen AG","Nein zum Verpflichtungskredit über 61 Millionen Franken für eine Verdichtung des Bahnangebots der Regio-S-Bahn Stein-Säckingen–Laufenburg in Muhen: 68,5 Prozent haben die Vorlage abgelehnt.",,
4010,34.4,34.4,65.6,"Oberentfelden AG","Oberentfelden (AG)","Oberentfelden AG","Oberentfelden hat den Verpflichtungskredit über 61 Millionen Franken für eine Verdichtung des Bahnangebots der Regio-S-Bahn Stein-Säckingen–Laufenburg  mit 65,6 Prozent abgelehnt.",,
4012,46.9,46.9,53.1,"Suhr AG","Suhr (AG)","Suhr AG","Suhr hat den Verpflichtungskredit über 61 Millionen Franken für eine Verdichtung des Bahnangebots der Regio-S-Bahn Stein-Säckingen–Laufenburg  mit 53,1 Prozent abgelehnt.",,
4013,9.1,9.1,90.9,"Unterentfelden AG","Unterentfelden (AG)","Unterentfelden AG","Unterentfelden hat den Verpflichtungskredit über 61 Millionen Franken für eine Verdichtung des Bahnangebots der Regio-S-Bahn Stein-Säckingen–Laufenburg  mit 90,9 Prozent abgelehnt.",,
4021,35.8,35.8,64.2,"Baden AG","Baden (AG)","Baden AG","Baden hat den Verpflichtungskredit über 61 Millionen Franken für eine Verdichtung des Bahnangebots der Regio-S-Bahn Stein-Säckingen–Laufenburg  mit 64,2 Prozent abgelehnt.",,
4022,68.6,68.6,31.4,"Bellikon AG","Bellikon (AG)","Bellikon AG","Mit 68,6 Prozent Ja hat sich Bellikon für den Verpflichtungskredit über 61 Millionen Franken für eine Verdichtung des Bahnangebots der Regio-S-Bahn Stein-Säckingen–Laufenburg ausgesprochen.",,
4023,48.8,48.8,51.2,"Bergdietikon AG","Bergdietikon (AG)","Bergdietikon AG","Bergdietikon hat den Verpflichtungskredit über 61 Millionen Franken für eine Verdichtung des Bahnangebots der Regio-S-Bahn Stein-Säckingen–Laufenburg  mit 51,2 Prozent abgelehnt.",,
4024,46.3,46.3,53.7,"Birmenstorf AG","Birmenstorf (AG)","Birmenstorf AG","Keine Mehrheit für den Verpflichtungskredit über 61 Millionen Franken für eine Verdichtung des Bahnangebots der Regio-S-Bahn Stein-Säckingen–Laufenburg in Birmenstorf AG. 53,7 Prozent haben sie verworfen.",,
4026,70,70,30,"Ennetbaden AG","Ennetbaden (AG)","Ennetbaden AG","Mit 70 Prozent Ja hat sich Ennetbaden für den Verpflichtungskredit über 61 Millionen Franken für eine Verdichtung des Bahnangebots der Regio-S-Bahn Stein-Säckingen–Laufenburg ausgesprochen.",,
4027,40.7,40.7,59.3,"Fislisbach AG","Fislisbach (AG)","Fislisbach AG","Keine Mehrheit für den Verpflichtungskredit über 61 Millionen Franken für eine Verdichtung des Bahnangebots der Regio-S-Bahn Stein-Säckingen–Laufenburg in Fislisbach. 59,3 Prozent haben sie verworfen.",,
4028,65,65,35,"Freienwil AG","Freienwil (AG)","Freienwil AG","Mit 65 Prozent Ja hat sich Freienwil für den Verpflichtungskredit über 61 Millionen Franken für eine Verdichtung des Bahnangebots der Regio-S-Bahn Stein-Säckingen–Laufenburg ausgesprochen.",,
4029,21.1,21.1,78.9,"Gebenstorf AG","Gebenstorf (AG)","Gebenstorf AG","Keine Mehrheit für den Verpflichtungskredit über 61 Millionen Franken für eine Verdichtung des Bahnangebots der Regio-S-Bahn Stein-Säckingen–Laufenburg in Gebenstorf. 78,9 Prozent haben sie verworfen.",,
4030,41.4,41.4,58.6,"Killwangen AG","Killwangen (AG)","Killwangen AG","Keine Mehrheit für den Verpflichtungskredit über 61 Millionen Franken für eine Verdichtung des Bahnangebots der Regio-S-Bahn Stein-Säckingen–Laufenburg in Killwangen. 58,6 Prozent haben sie verworfen.",,
4031,56.1,56.1,43.9,"Künten AG","Künten (AG)","Künten AG","56,1 Prozent der Stimmbürgerinnen und Stimmbürger von Künten haben dem Verpflichtungskredit über 61 Millionen Franken für eine Verdichtung des Bahnangebots der Regio-S-Bahn Stein-Säckingen–Laufenburg zugestimmt.",,
