"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_d","Text_f","Text_i"
301,36.2,36.2,63.8,"Aarberg BE","Aarberg (BE)","Aarberg BE","Nein zur Anpassungen bei den Schuldenbremsen in Aarberg: 63,8 Prozent haben die Vorlage abgelehnt.","Les habitants d'Aarberg s'opposent à une modification du frein à l'endettement avec 63,8 pour cent de non. La nouvelle disposition doit permettre au canton d'attribuer au financement des investissements des excédents dégagés au cours des années précédentes.",
302,62.5,62.5,37.5,"Bargen BE","Bargen (BE)","Bargen BE BE","62,5 Prozent der Stimmbürgerinnen und Stimmbürger von Bargen BE haben der Verfassungsänderung für Anpassungen bei den Schuldenbremsen zugestimmt.","A Bargen (BE), les habitants disent oui à 62,5 pour cent à une modification du frein à l'endettement. La nouvelle disposition permettra au canton d'attribuer au financement des investissements des excédents dégagés au cours des années précédentes.",
303,83.4,83.4,16.6,"Grossaffoltern BE","Grossaffoltern (BE)","Grossaffoltern BE","83,4 Prozent der Stimmbürgerinnen und Stimmbürger von Grossaffoltern haben der Verfassungsänderung für Anpassungen bei den Schuldenbremsen zugestimmt.","A Grossaffoltern, les habitants disent oui à 83,4 pour cent à une modification du frein à l'endettement. La nouvelle disposition permettra au canton d'attribuer au financement des investissements des excédents dégagés au cours des années précédentes.",
304,58,58,42,"Kallnach BE","Kallnach (BE)","Kallnach BE","Kallnach hat die Verfassungsänderung für Anpassungen bei den Schuldenbremsen mit 58 Prozent angenommen.","Les habitants de Kallnach acceptent avec 58 pour cent de oui une modification du frein à l'endettement. La nouvelle disposition permettra au canton d'attribuer au financement des investissements des excédents dégagés au cours des années précédentes.",
305,61.3,61.3,38.7,"Kappelen BE","Kappelen (BE)","Kappelen BE","61,3 Prozent der Stimmbürgerinnen und Stimmbürger von Kappelen haben der Verfassungsänderung für Anpassungen bei den Schuldenbremsen zugestimmt.","A Kappelen, les habitants disent oui à 61,3 pour cent à une modification du frein à l'endettement. La nouvelle disposition permettra au canton d'attribuer au financement des investissements des excédents dégagés au cours des années précédentes.",
306,60.7,60.7,39.3,"Lyss BE","Lyss (BE)","Lyss BE","Lyss hat die Verfassungsänderung für Anpassungen bei den Schuldenbremsen mit 60,7 Prozent angenommen.","Les habitants de Lyss acceptent avec 60,7 pour cent de oui une modification du frein à l'endettement. La nouvelle disposition permettra au canton d'attribuer au financement des investissements des excédents dégagés au cours des années précédentes.",
307,58.2,58.2,41.8,"Meikirch BE","Meikirch (BE)","Meikirch BE","Mit 58,2 Prozent Ja hat sich Meikirch für die Verfassungsänderung für Anpassungen bei den Schuldenbremsen ausgesprochen.","Les habitants de Meikirch approuvent avec 58,2 pour cent de oui une modification du frein à l'endettement. La nouvelle disposition permettra au canton d'attribuer au financement des investissements des excédents dégagés au cours des années précédentes.",
309,92.7,92.7,7.3,"Radelfingen BE","Radelfingen (BE)","Radelfingen BE","Radelfingen hat die Verfassungsänderung für Anpassungen bei den Schuldenbremsen mit 92,7 Prozent angenommen.","Les habitants de Radelfingen acceptent avec 92,7 pour cent de oui une modification du frein à l'endettement. La nouvelle disposition permettra au canton d'attribuer au financement des investissements des excédents dégagés au cours des années précédentes.",
310,33.6,33.6,66.4,"Rapperswil BE","Rapperswil (BE)","Rapperswil BE BE","Rapperswil BE hat die Anpassungen bei den Schuldenbremsen mit 66,4 Prozent abgelehnt.","Les habitants de Rapperswil (BE) rejettent une modification du frein à l'endettement avec 66,4 pour cent de non. La nouvelle disposition doit permettre au canton d'attribuer au financement des investissements des excédents dégagés au cours des années précédentes.",
311,10.1,10.1,89.9,"Schüpfen BE","Schüpfen (BE)","Schüpfen BE","Keine Mehrheit für die Anpassungen bei den Schuldenbremsen in Schüpfen. 89,9 Prozent haben sie verworfen.","A Schüpfen, les habitants disent non à 89,9 pour cent à une modification du frein à l'endettement. La nouvelle disposition doit permettre au canton d'attribuer au financement des investissements des excédents dégagés au cours des années précédentes.",
