"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_d","Text_f","Text_i"
111,51.8,51.8,48.2,"Bäretswil ZH","Bäretswil (ZH)","Bäretswil ZH","Bäretswil hat der Änderung des Covid-19-Gesetzes zugestimmt und zwar mit 6'296 Ja zu 5'868 Nein. Das entspricht einem Ja-Stimmen-Anteil von 51,8 Prozent. Damit hat in Bäretswil ein Meinungsumschwung stattgefunden. Die beiden letzten Covid-19-Abstimmungen im November 2021 und im Juni 2021 hatte die Gemeinde noch abgelehnt.","La nouvelle modification de la loi Covid-19 passe la rampe avec 51,8 pour cent de oui à Bäretswil. C'est la première fois que Bäretswil approuve une loi sur le Covid. Elle avait voté non lors des deux précédents scrutins sur cette question, respectivement en juin et en novembre 2021.","Da Bäretswil è arrivato un ""sì"" alle urne per la legge COVID-19. I cittadini hanno accolto il testo con il 51,8 percento dei voti. A Bäretswil le legge Covid era stata bocciata in due occasioni nelle votazioni passare."
112,42,42,58,"Bubikon ZH","Bubikon (ZH)","Bubikon ZH","Nein zur Änderung des Covid-19-Gesetzes: Bubikon hat die Vorlage mit 58 Prozent Nein-Stimmen verworfen. Damit hat in Bubikon ein Meinungsumschwung stattgefunden. Den beiden letzten Covid-19-Vorlagen im November 2021 und im Juni 2021 hatte die Gemeinde noch zugestimmt.","La nouvelle modification de la loi Covid-19 n'a pas trouvé grâce aux yeux des citoyens de Bubikon. Ils ont refusé le texte à 58 pour cent. Bubikon a refusé la première votation sur la loi Covid. Cette commune a ensuite accepté les deux modifications proposées.","Nel comune di Bubikon la legge COVID-19 è stata respinta con il 58 percento dei voti. A Bubikon le legge Covid era stata approvata in due occasioni nelle votazioni passare."
113,93,93,7,"Dürnten ZH","Dürnten (ZH)","Dürnten ZH","93 Prozent der Stimmbürgerinnen und Stimmbürger von Dürnten haben Ja gesagt zur Änderung des Covid-19-Gesetzes. Damit hat Dürnten alle drei bisherigen Covid-Abstimmungen angenommen.","Les citoyens de Dürnten acceptent avec 93 pour cent de oui la nouvelle modification de la loi Covid-19. Dürnten a approuvé les trois votations concernant la loi Covid.","Con il 93 percento di ""sì"", i cittadini del comune di Dürnten hanno accolto la legge COVID-19. A Dürnten la legge Covid è stata approvata in tutte e tre le votazioni."
114,57.9,57.9,42.1,"Fischenthal ZH","Fischenthal (ZH)","Fischenthal ZH","Mit 57,9 Prozent Ja hat sich Fischenthal für die Änderung des Covid-19-Gesetzes ausgesprochen. Damit hat in Fischenthal ein Meinungsumschwung stattgefunden. Die beiden letzten Covid-19-Abstimmungen im November 2021 und im Juni 2021 hatte die Gemeinde noch abgelehnt.","Fischenthal dit oui à 57,9 pour cent à la nouvelle modification de la loi Covid-19. C'est la première fois que Fischenthal approuve une loi sur le Covid. Elle avait voté non lors des deux précédents scrutins sur cette question, respectivement en juin et en novembre 2021.","Sì alla legge COVID-19 nel comune di Fischenthal: i cittadini hanno approvato il testo con il 57,9 percento dei voti. A Fischenthal le legge Covid era stata bocciata in due occasioni nelle votazioni passare."
115,66.6,66.6,33.4,"Gossau ZH","Gossau (ZH)","Gossau ZH","Ja zur Änderung des Covid-19-Gesetzes: Gossau ZH hat die Vorlage mit 66,6 Prozent der Stimmen angenommen. Damit hat Gossau ZH alle drei bisherigen Covid-Abstimmungen angenommen.","Les habitants de Gossau (ZH) soutiennent à 66,6 pour cent la nouvelle modification de la loi Covid-19. Gossau (ZH) a approuvé les trois votations concernant la loi Covid.","A Gossau ZH i cittadini hanno accolto, con il 66,6 percento dei voti, la legge COVID-19. A Gossau ZH la legge Covid è stata approvata in tutte e tre le votazioni."
116,39.8,39.8,60.2,"Grüningen ZH","Grüningen (ZH)","Grüningen ZH","In Grüningen hat die Änderung des Covid-19-Gesetzes keine Mehrheit gefunden: 60,2 Prozent haben es abgelehnt. Bei der letzten Covid-19-Abstimmung im November 2021 hatte Grüningen noch Ja gesagt, bei der ersten im Juni 2021 hingegen wie dieses Mal ebenfalls Nein.","C'est non à la nouvelle modification de la loi Covid-19 à Grüningen. Les habitants ont refusé le texte à 60,2 pour cent. Seule la première modification de la loi Covid, acceptée en novembre 2021, a passé la rampe à Grüningen,. La première votation en juin 2021 et la dernière modification ont elles essuyé un refus.","A Grüningen i cittadini hanno respinto, con il 60,2 percento dei voti, la legge COVID-19. A Grüningen le legge Covid era stata approvata in un'occasione nelle votazioni passare."
117,32,32,68,"Hinwil ZH","Hinwil (ZH)","Hinwil ZH","68 Prozent Stimmbürgerinnen und Stimmbürger von Hinwil haben Nein gesagt zur Änderung des Covid-19-Gesetzes. Damit hat in Hinwil ein Meinungsumschwung stattgefunden. Den beiden letzten Covid-19-Vorlagen im November 2021 und im Juni 2021 hatte die Gemeinde noch zugestimmt.","A Hinwil, les citoyens rejettent à 68 pour cent la nouvelle modification de la loi Covid-19. Hinwil a refusé la première votation sur la loi Covid. Cette commune a ensuite accepté les deux modifications proposées.","I cittadini di Hinwil si sono espressi contro la legge COVID-19. Il testo è stato respinto con il 68 percento dei voti. A Hinwil le legge Covid era stata approvata in due occasioni nelle votazioni passare."
118,40.4,40.4,59.6,"Rüti ZH","Rüti (ZH)","Rüti ZH","Mit 6'505 Nein- zu 4'414 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger von Rüti ZH die Änderung des Covid-19-Gesetzes abgelehnt. Das entspricht 59,6 Prozent. Damit hat in Rüti ZH ein Meinungsumschwung stattgefunden. Den beiden letzten Covid-19-Vorlagen im November 2021 und im Juni 2021 hatte die Gemeinde noch zugestimmt.","La population de Rüti (ZH) rejette à 59,6 pour cent des voix la nouvelle modification de la loi Covid-19. Rüti (ZH) a refusé la première votation sur la loi Covid. Cette commune a ensuite accepté les deux modifications proposées.","Con il 59,6 percento di ""no"", i cittadini del comune di Rüti ZH hanno respinto la legge COVID-19. A Rüti ZH le legge Covid era stata approvata in due occasioni nelle votazioni passare."
119,99.8,99.8,0.2,"Seegräben ZH","Seegräben (ZH)","Seegräben ZH","Seegräben hat dem Covid-19-Gesetz mit dem schweizweit zweithöchsten Ja-Anteil zugestimmt, nämlich mit 99,8 Prozent Ja. Damit hat Seegräben alle drei bisherigen Covid-Abstimmungen angenommen.","Seegräben se classe au deuxième rang des plus fortes approbations de la révision de la loi Covid-19. Ses habitants disent oui à 99,8 pour cent. Seegräben a approuvé les trois votations concernant la loi Covid.","Seegräben si piazza al secondo posto fra i maggiori favorevoli alla legge COVID-19. I suoi cittadini hanno detto ""sì"" con il #JaStimmentInProzent percento dei voti. A Seegräben la legge Covid è stata approvata in tutte e tre le votazioni."
120,3.4,3.4,96.6,"Wald ZH","Wald (ZH)","Wald ZH","Die Änderung des Covid-19-Gesetzes ist in Wald ZH mit 96,6 Prozent abgelehnt worden. Damit hat Wald ZH bereits zum dritten Mal eine Covid-19-Vorlage abgelehnt.","La nouvelle modification de la loi Covid-19 n'a pas convaincu à Wald (ZH). Les citoyens de la commune ont refusé le texte à 96,6 pour cent. Wald (ZH) a refusé les trois votations concernant la loi Covid.","Da Wald ZH è arrivato un ""no"" alle urne per la legge COVID-19. I cittadini hanno bocciato il testo con il 96,6 percento dei voti. A Wald ZH la legge Covid è stata bocciata in tutte e tre le votazioni."
