"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_d","Text_f","Text_i"
1,29.9,29.9,70.1,"Aeugst am Albis ZH","Aeugst am Albis (ZH)","Aeugst am Albis ZH","Die Gemeinde Aeugst am Albis ist gegen die Änderung des Covid-19-Gesetzes: Sie hat die Vorlage mit 70,1 Prozent Nein verworfen. Damit hat in Aeugst am Albis ein Meinungsumschwung stattgefunden. Den beiden letzten Covid-19-Vorlagen im November 2021 und im Juni 2021 hatte die Gemeinde noch zugestimmt.","La nouvelle modification de la loi Covid-19 est refusée à 70,1 pour cent à Aeugst am Albis. Aeugst am Albis a refusé la première votation sur la loi Covid. Cette commune a ensuite accepté les deux modifications proposées.","Nel comune di Aeugst am Albis la legge COVID-19 è stata bocciata con il 70,1 percento dei voti. A Aeugst am Albis le legge Covid era stata approvata in due occasioni nelle votazioni passare."
2,43.2,43.2,56.8,"Affoltern am Albis ZH","Affoltern am Albis (ZH)","Affoltern am Albis ZH","Die Änderung des Covid-19-Gesetzes ist in Affoltern am Albis mit 56,8 Prozent abgelehnt worden. Damit hat in Affoltern am Albis ein Meinungsumschwung stattgefunden. Den beiden letzten Covid-19-Vorlagen im November 2021 und im Juni 2021 hatte die Gemeinde noch zugestimmt.","La nouvelle modification de la loi Covid-19 n'a pas convaincu à Affoltern am Albis. Les citoyens de la commune ont refusé le texte à 56,8 pour cent. Affoltern am Albis a refusé la première votation sur la loi Covid. Cette commune a ensuite accepté les deux modifications proposées.","Da Affoltern am Albis è arrivato un ""no"" alle urne per la legge COVID-19. I cittadini hanno bocciato il testo con il 56,8 percento dei voti. A Affoltern am Albis le legge Covid era stata approvata in due occasioni nelle votazioni passare."
3,45.6,45.6,54.4,"Bonstetten ZH","Bonstetten (ZH)","Bonstetten ZH","Die Änderung des Covid-19-Gesetzes ist in Bonstetten mit 54,4 Prozent abgelehnt worden. Damit hat in Bonstetten ein Meinungsumschwung stattgefunden. Den beiden letzten Covid-19-Vorlagen im November 2021 und im Juni 2021 hatte die Gemeinde noch zugestimmt.","La nouvelle modification de la loi Covid-19 n'a pas convaincu à Bonstetten. Les citoyens de la commune ont refusé le texte à 54,4 pour cent. Bonstetten a refusé la première votation sur la loi Covid. Cette commune a ensuite accepté les deux modifications proposées.","Da Bonstetten è arrivato un ""no"" alle urne per la legge COVID-19. I cittadini hanno bocciato il testo con il 54,4 percento dei voti. A Bonstetten le legge Covid era stata approvata in due occasioni nelle votazioni passare."
4,36.5,36.5,63.5,"Hausen am Albis ZH","Hausen am Albis (ZH)","Hausen am Albis ZH","63,5 Prozent Stimmbürgerinnen und Stimmbürger von Hausen am Albis haben Nein gesagt zur Änderung des Covid-19-Gesetzes. Damit hat in Hausen am Albis ein Meinungsumschwung stattgefunden. Den beiden letzten Covid-19-Vorlagen im November 2021 und im Juni 2021 hatte die Gemeinde noch zugestimmt.","A Hausen am Albis, les citoyens rejettent à 63,5 pour cent la nouvelle modification de la loi Covid-19. Hausen am Albis a refusé la première votation sur la loi Covid. Cette commune a ensuite accepté les deux modifications proposées.","I cittadini di Hausen am Albis si sono espressi contro la legge COVID-19. Il testo è stato respinto con il 63,5 percento dei voti. A Hausen am Albis le legge Covid era stata approvata in due occasioni nelle votazioni passare."
5,91.6,91.6,8.4,"Hedingen ZH","Hedingen (ZH)","Hedingen ZH","Mit 91,6 Prozent Ja hat sich Hedingen für die Änderung des Covid-19-Gesetzes ausgesprochen. Damit hat Hedingen alle drei bisherigen Covid-Abstimmungen angenommen.","Hedingen dit oui à 91,6 pour cent à la nouvelle modification de la loi Covid-19. Hedingen a approuvé les trois votations concernant la loi Covid.","Sì alla legge COVID-19 nel comune di Hedingen: i cittadini hanno approvato il testo con il 91,6 percento dei voti. A Hedingen la legge Covid è stata approvata in tutte e tre le votazioni."
6,12.9,12.9,87.1,"Kappel am Albis ZH","Kappel am Albis (ZH)","Kappel am Albis ZH","Die Änderung des Covid-19-Gesetzes ist in Kappel am Albis mit 87,1 Prozent abgelehnt worden. Damit hat Kappel am Albis bereits zum dritten Mal eine Covid-19-Vorlage abgelehnt.","La nouvelle modification de la loi Covid-19 n'a pas convaincu à Kappel am Albis. Les citoyens de la commune ont refusé le texte à 87,1 pour cent. Kappel am Albis a refusé les trois votations concernant la loi Covid.","Da Kappel am Albis è arrivato un ""no"" alle urne per la legge COVID-19. I cittadini hanno bocciato il testo con il 87,1 percento dei voti. A Kappel am Albis la legge Covid è stata bocciata in tutte e tre le votazioni."
7,32.7,32.7,67.3,"Knonau ZH","Knonau (ZH)","Knonau ZH","67,3 Prozent der Stimmbürgerinnen und Stimmbürger von Knonau haben die Änderung des Covid-19-Gesetzes abgelehnt. Damit hat in Knonau ein Meinungsumschwung stattgefunden. Den beiden letzten Covid-19-Vorlagen im November 2021 und im Juni 2021 hatte die Gemeinde noch zugestimmt.","Les habitants de Knonau s'opposent à la nouvelle modification de la loi Covid-19 par 67,3 pour cent des voix. Knonau a refusé la première votation sur la loi Covid. Cette commune a ensuite accepté les deux modifications proposées.","No alla legge COVID-19 nel comune di Knonau: i cittadini hanno bocciato il testo con il 67,3 percento dei voti. A Knonau le legge Covid era stata approvata in due occasioni nelle votazioni passare."
8,41.7,41.7,58.3,"Maschwanden ZH","Maschwanden (ZH)","Maschwanden ZH","Mit 7'303 Nein- zu 5'223 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger von Maschwanden die Änderung des Covid-19-Gesetzes abgelehnt. Das entspricht 58,3 Prozent. Bei der letzten Covid-19-Abstimmung im November 2021 hatte Maschwanden noch Ja gesagt, bei der ersten im Juni 2021 hingegen wie dieses Mal ebenfalls Nein.","La population de Maschwanden rejette à 58,3 pour cent des voix la nouvelle modification de la loi Covid-19. Seule la première modification de la loi Covid, acceptée en novembre 2021, a passé la rampe à Maschwanden,. La première votation en juin 2021 et la dernière modification ont elles essuyé un refus.","Con il 58,3 percento di ""no"", i cittadini del comune di Maschwanden hanno respinto la legge COVID-19. A Maschwanden le legge Covid era stata approvata in un'occasione nelle votazioni passare."
9,83.2,83.2,16.8,"Mettmenstetten ZH","Mettmenstetten (ZH)","Mettmenstetten ZH","83,2 Prozent der Stimmbürgerinnen und Stimmbürger von Mettmenstetten haben für die Änderung des Covid-19-Gesetzes gestimmt. Damit hat Mettmenstetten alle drei bisherigen Covid-Abstimmungen angenommen.","A Mettmenstetten, les citoyens disent oui à  83,2 pour cent à la nouvelle modification de la loi Covid-19. Mettmenstetten a approuvé les trois votations concernant la loi Covid.","Nel comune di Mettmenstetten la legge COVID-19 è stata approvata con il 83,2 percento dei voti. A Mettmenstetten la legge Covid è stata approvata in tutte e tre le votazioni."
10,10.6,10.6,89.4,"Obfelden ZH","Obfelden (ZH)","Obfelden ZH","89,4 Prozent Stimmbürgerinnen und Stimmbürger von Obfelden haben Nein gesagt zur Änderung des Covid-19-Gesetzes. Damit hat in Obfelden ein Meinungsumschwung stattgefunden. Den beiden letzten Covid-19-Vorlagen im November 2021 und im Juni 2021 hatte die Gemeinde noch zugestimmt.","A Obfelden, les citoyens rejettent à 89,4 pour cent la nouvelle modification de la loi Covid-19. Obfelden a refusé la première votation sur la loi Covid. Cette commune a ensuite accepté les deux modifications proposées.","I cittadini di Obfelden si sono espressi contro la legge COVID-19. Il testo è stato respinto con il 89,4 percento dei voti. A Obfelden le legge Covid era stata approvata in due occasioni nelle votazioni passare."
11,69.4,69.4,30.6,"Ottenbach ZH","Ottenbach (ZH)","Ottenbach ZH","Mit 69,4 Prozent Ja hat sich Ottenbach für die Änderung des Covid-19-Gesetzes ausgesprochen. Damit hat Ottenbach alle drei bisherigen Covid-Abstimmungen angenommen.","Ottenbach dit oui à 69,4 pour cent à la nouvelle modification de la loi Covid-19. Ottenbach a approuvé les trois votations concernant la loi Covid.","Sì alla legge COVID-19 nel comune di Ottenbach: i cittadini hanno approvato il testo con il 69,4 percento dei voti. A Ottenbach la legge Covid è stata approvata in tutte e tre le votazioni."
12,62.3,62.3,37.7,"Rifferswil ZH","Rifferswil (ZH)","Rifferswil ZH","Mit 62,3 Prozent Ja hat sich Rifferswil für die Änderung des Covid-19-Gesetzes ausgesprochen. Damit hat Rifferswil alle drei bisherigen Covid-Abstimmungen angenommen.","Rifferswil dit oui à 62,3 pour cent à la nouvelle modification de la loi Covid-19. Rifferswil a approuvé les trois votations concernant la loi Covid.","Sì alla legge COVID-19 nel comune di Rifferswil: i cittadini hanno approvato il testo con il 62,3 percento dei voti. A Rifferswil la legge Covid è stata approvata in tutte e tre le votazioni."
13,4.2,4.2,95.8,"Stallikon ZH","Stallikon (ZH)","Stallikon ZH","95,8 Prozent Stimmbürgerinnen und Stimmbürger von Stallikon haben Nein gesagt zur Änderung des Covid-19-Gesetzes. Damit hat in Stallikon ein Meinungsumschwung stattgefunden. Den beiden letzten Covid-19-Vorlagen im November 2021 und im Juni 2021 hatte die Gemeinde noch zugestimmt.","A Stallikon, les citoyens rejettent à 95,8 pour cent la nouvelle modification de la loi Covid-19. Stallikon a refusé la première votation sur la loi Covid. Cette commune a ensuite accepté les deux modifications proposées.","I cittadini di Stallikon si sono espressi contro la legge COVID-19. Il testo è stato respinto con il 95,8 percento dei voti. A Stallikon le legge Covid era stata approvata in due occasioni nelle votazioni passare."
14,93.6,93.6,6.4,"Wettswil am Albis ZH","Wettswil am Albis (ZH)","Wettswil am Albis ZH","Wettswil am Albis hat mit 93,6 Prozent Ja gesagt zur Änderung des Covid-19-Gesetzes. Damit hat Wettswil am Albis alle drei bisherigen Covid-Abstimmungen angenommen.","La population de Wettswil am Albis approuve à 93,6 pour cent la nouvelle modification de la loi Covid-19. Wettswil am Albis a approuvé les trois votations concernant la loi Covid.","Nel comune di Wettswil am Albis la legge COVID-19 è stata accettata con il 93,6 percento dei voti. A Wettswil am Albis la legge Covid è stata approvata in tutte e tre le votazioni."
