"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_d","Text_f","Text_i"
6601,65,65,35,"Aire-la-Ville GE","Aire-la-Ville (GE)","Aire-la-Ville GE",,,
6602,47.4,47.4,52.6,"Anières GE","Anières (GE)","Anières GE",,,
6603,47.2,47.2,52.8,"Avully GE","Avully (GE)","Avully GE",,,
6604,43.4,43.4,56.6,"Avusy GE","Avusy (GE)","Avusy GE",,,
6605,20.7,20.7,79.3,"Bardonnex GE","Bardonnex (GE)","Bardonnex GE",,,
6606,55.1,55.1,44.9,"Bellevue GE","Bellevue (GE)","Bellevue GE",,,
6607,23.1,23.1,76.9,"Bernex GE","Bernex (GE)","Bernex GE",,,
6608,23.5,23.5,76.5,"CarouGE","Carouge (GE)","CarouGE GE",,,
6609,45.1,45.1,54.9,"Cartigny GE","Cartigny (GE)","Cartigny GE",,,
6610,24.5,24.5,75.5,"Céligny GE","Céligny (GE)","Céligny GE",,,
6611,58.4,58.4,41.6,"Chancy GE","Chancy (GE)","Chancy GE",,,
6612,28.2,28.2,71.8,"Chêne-Bougeries GE","Chêne-Bougeries (GE)","Chêne-Bougeries GE",,,
6613,71.5,71.5,28.5,"Chêne-Bourg GE","Chêne-Bourg (GE)","Chêne-Bourg GE",,,
6614,50.3,50.3,49.7,"Choulex GE","Choulex (GE)","Choulex GE",,,
6615,29.3,29.3,70.7,"Collex-Bossy GE","Collex-Bossy (GE)","Collex-Bossy GE",,,
6616,45.4,45.4,54.6,"Collonge-Bellerive GE","Collonge-Bellerive (GE)","Collonge-Bellerive GE",,,
6617,73.3,73.3,26.7,"Cologny GE","Cologny (GE)","Cologny GE",,,
6618,31.1,31.1,68.9,"Confignon GE","Confignon (GE)","Confignon GE",,,
6619,99.1,99.1,0.9,"Corsier GE","Corsier (GE)","Corsier GE",,,
6620,35.7,35.7,64.3,"Dardagny GE","Dardagny (GE)","Dardagny GE",,,
6621,54.1,54.1,45.9,"Genf GE","Genève (GE)","Ginevra GE",,,
6622,68,68,32,"Genthod GE","Genthod (GE)","Genthod GE",,,
6623,46.5,46.5,53.5,"Le Grand-Saconnex GE","Le Grand-Saconnex (GE)","Le Grand-Saconnex GE",,,
6624,44.9,44.9,55.1,"Gy GE","Gy (GE)","Gy GE",,,
6625,50.7,50.7,49.3,"Hermance GE","Hermance (GE)","Hermance GE",,,
6626,61.1,61.1,38.9,"Jussy GE","Jussy (GE)","Jussy GE",,,
6627,51.3,51.3,48.7,"Laconnex GE","Laconnex (GE)","Laconnex GE",,,
6628,11.2,11.2,88.8,"Lancy GE","Lancy (GE)","Lancy GE",,,
6629,62.1,62.1,37.9,"Meinier GE","Meinier (GE)","Meinier GE",,,
6630,96.6,96.6,3.4,"Meyrin GE","Meyrin (GE)","Meyrin GE",,,
6631,53.7,53.7,46.3,"Onex GE","Onex (GE)","Onex GE",,,
6632,15.5,15.5,84.5,"Perly-Certoux GE","Perly-Certoux (GE)","Perly-Certoux GE",,,
6633,50,50,50,"Plan-les-Ouates GE","Plan-les-Ouates (GE)","Plan-les-Ouates GE",,,
6634,52.5,52.5,47.5,"Pregny-Chambésy GE","Pregny-Chambésy (GE)","Pregny-Chambésy GE",,,
6635,93.2,93.2,6.8,"PresinGE","Presinge (GE)","PresinGE",,,
6636,59.7,59.7,40.3,"PuplinGE","Puplinge (GE)","PuplinGE",,,
6637,88.7,88.7,11.3,"Russin GE","Russin (GE)","Russin GE",,,
6638,56.8,56.8,43.2,"Satigny GE","Satigny (GE)","Satigny GE",,,
6639,59.8,59.8,40.2,"Soral GE","Soral (GE)","Soral GE",,,
6640,30.1,30.1,69.9,"Thônex GE","Thônex (GE)","Thônex GE",,,
6641,36.5,36.5,63.5,"Troinex GE","Troinex (GE)","Troinex GE",,,
6642,44,44,56,"Vandoeuvres GE","Vandoeuvres (GE)","Vandoeuvres GE",,,
6643,64.7,64.7,35.3,"Vernier GE","Vernier (GE)","Vernier GE",,,
6644,36.6,36.6,63.4,"Versoix GE","Versoix (GE)","Versoix GE",,,
6645,36,36,64,"Veyrier GE","Veyrier (GE)","Veyrier GE",,,
