"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_d","Text_f","Text_i"
6601,60.4,60.4,39.6,"Aire-la-Ville GE","Aire-la-Ville (GE)","Aire-la-Ville GE",,,
6602,12.8,12.8,87.2,"Anières GE","Anières (GE)","Anières GE",,,
6603,10.4,10.4,89.6,"Avully GE","Avully (GE)","Avully GE",,,
6604,24.2,24.2,75.8,"Avusy GE","Avusy (GE)","Avusy GE",,,
6605,68,68,32,"Bardonnex GE","Bardonnex (GE)","Bardonnex GE",,,
6606,45,45,55,"Bellevue GE","Bellevue (GE)","Bellevue GE",,,
6607,54,54,46,"Bernex GE","Bernex (GE)","Bernex GE",,,
6608,45.7,45.7,54.3,"CarouGE","Carouge (GE)","CarouGE GE",,,
6609,62.6,62.6,37.4,"Cartigny GE","Cartigny (GE)","Cartigny GE",,,
6610,42,42,58,"Céligny GE","Céligny (GE)","Céligny GE",,,
6611,28.4,28.4,71.6,"Chancy GE","Chancy (GE)","Chancy GE",,,
6612,69.4,69.4,30.6,"Chêne-Bougeries GE","Chêne-Bougeries (GE)","Chêne-Bougeries GE",,,
6613,27.2,27.2,72.8,"Chêne-Bourg GE","Chêne-Bourg (GE)","Chêne-Bourg GE",,,
6614,85.6,85.6,14.4,"Choulex GE","Choulex (GE)","Choulex GE",,,
6615,44.7,44.7,55.3,"Collex-Bossy GE","Collex-Bossy (GE)","Collex-Bossy GE",,,
6616,42.8,42.8,57.2,"Collonge-Bellerive GE","Collonge-Bellerive (GE)","Collonge-Bellerive GE",,,
6617,65.1,65.1,34.9,"Cologny GE","Cologny (GE)","Cologny GE",,,
6618,28.7,28.7,71.3,"Confignon GE","Confignon (GE)","Confignon GE",,,
6619,77.2,77.2,22.8,"Corsier GE","Corsier (GE)","Corsier GE",,,
6620,61.5,61.5,38.5,"Dardagny GE","Dardagny (GE)","Dardagny GE",,,
6621,57.1,57.1,42.9,"Genf GE","Genève (GE)","Ginevra GE",,,
6622,29,29,71,"Genthod GE","Genthod (GE)","Genthod GE",,,
6623,67.1,67.1,32.9,"Le Grand-Saconnex GE","Le Grand-Saconnex (GE)","Le Grand-Saconnex GE",,,
6624,37.5,37.5,62.5,"Gy GE","Gy (GE)","Gy GE",,,
6625,33.3,33.3,66.7,"Hermance GE","Hermance (GE)","Hermance GE",,,
6626,44.4,44.4,55.6,"Jussy GE","Jussy (GE)","Jussy GE",,,
6627,30.4,30.4,69.6,"Laconnex GE","Laconnex (GE)","Laconnex GE",,,
6628,72.6,72.6,27.4,"Lancy GE","Lancy (GE)","Lancy GE",,,
6629,39.8,39.8,60.2,"Meinier GE","Meinier (GE)","Meinier GE",,,
6630,38.2,38.2,61.8,"Meyrin GE","Meyrin (GE)","Meyrin GE",,,
6631,50.9,50.9,49.1,"Onex GE","Onex (GE)","Onex GE",,,
6632,17,17,83,"Perly-Certoux GE","Perly-Certoux (GE)","Perly-Certoux GE",,,
6633,98,98,2,"Plan-les-Ouates GE","Plan-les-Ouates (GE)","Plan-les-Ouates GE",,,
6634,25,25,75,"Pregny-Chambésy GE","Pregny-Chambésy (GE)","Pregny-Chambésy GE",,,
6635,41.1,41.1,58.9,"PresinGE","Presinge (GE)","PresinGE",,,
6636,67,67,33,"PuplinGE","Puplinge (GE)","PuplinGE",,,
6637,7.1,7.1,92.9,"Russin GE","Russin (GE)","Russin GE",,,
6638,53.4,53.4,46.6,"Satigny GE","Satigny (GE)","Satigny GE",,,
6639,81.9,81.9,18.1,"Soral GE","Soral (GE)","Soral GE",,,
6640,41.7,41.7,58.3,"Thônex GE","Thônex (GE)","Thônex GE",,,
6641,77.3,77.3,22.7,"Troinex GE","Troinex (GE)","Troinex GE",,,
6642,50.3,50.3,49.7,"Vandoeuvres GE","Vandoeuvres (GE)","Vandoeuvres GE",,,
6643,33.1,33.1,66.9,"Vernier GE","Vernier (GE)","Vernier GE",,,
6644,69.4,69.4,30.6,"Versoix GE","Versoix (GE)","Versoix GE",,,
6645,82.6,82.6,17.4,"Veyrier GE","Veyrier (GE)","Veyrier GE",,,
