"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_d","Text_f","Text_i"
6601,50.6,50.6,49.4,"Aire-la-Ville GE","Aire-la-Ville (GE)","Aire-la-Ville GE",,"Les habitants d'Aire-la-Ville ont approuvé avec 50,6 pour cent des voix une contribution de solidarité de la part des plus riches. L'initiative prévoit une hausse d'impôt de 0,25% sur les fortunes imposables de plus de 3 millions pendant dix ans. Deux mesures pérennes s'y ajoutent: un triplement des déductions sociales sur la fortune et un relèvement de 1% du bouclier fiscal.",
6602,36.4,36.4,63.6,"Anières GE","Anières (GE)","Anières GE",,"Les habitants d'Anières ont refusé avec 63,6 pour cent des voix une contribution de solidarité à charge des plus riches. L'initiative prévoit une hausse d'impôt de 0,25% sur les fortunes imposables de plus de 3 millions pendant dix ans. Deux mesures pérennes s'y ajoutent: un triplement des déductions sociales sur la fortune et un relèvement de 1% du bouclier fiscal.",
6603,86.1,86.1,13.9,"Avully GE","Avully (GE)","Avully GE",,"Les habitants d'Avully acceptent avec 86,1 pour cent de oui une contribution de solidarité de la part des plus riches. L'initiative prévoit une hausse d'impôt de 0,25% sur les fortunes imposables de plus de 3 millions pendant dix ans. Deux mesures pérennes s'y ajoutent: un triplement des déductions sociales sur la fortune et un relèvement de 1% du bouclier fiscal.",
6604,5.5,5.5,94.5,"Avusy GE","Avusy (GE)","Avusy GE",,"C'est non à 94,5 pour cent à Avusy à une contribution de solidarité à charge des plus riches. L'initiative prévoit une hausse d'impôt de 0,25% sur les fortunes imposables de plus de 3 millions pendant dix ans. Deux mesures pérennes s'y ajoutent: un triplement des déductions sociales sur la fortune et un relèvement de 1% du bouclier fiscal.",
6605,33.6,33.6,66.4,"Bardonnex GE","Bardonnex (GE)","Bardonnex GE",,"Les habitants de Bardonnex refusent avec 66,4 pour cent de non une contribution de solidarité à charge des plus riches. L'initiative prévoit une hausse d'impôt de 0,25% sur les fortunes imposables de plus de 3 millions pendant dix ans. Deux mesures pérennes s'y ajoutent: un triplement des déductions sociales sur la fortune et un relèvement de 1% du bouclier fiscal.",
6606,89.8,89.8,10.2,"Bellevue GE","Bellevue (GE)","Bellevue GE",,"Les habitants de Bellevue acceptent avec 89,8 pour cent de oui une contribution de solidarité de la part des plus riches. L'initiative prévoit une hausse d'impôt de 0,25% sur les fortunes imposables de plus de 3 millions pendant dix ans. Deux mesures pérennes s'y ajoutent: un triplement des déductions sociales sur la fortune et un relèvement de 1% du bouclier fiscal.",
6607,26.5,26.5,73.5,"Bernex GE","Bernex (GE)","Bernex GE",,"Les habitants de Bernex refusent avec 73,5 pour cent de non une contribution de solidarité à charge des plus riches. L'initiative prévoit une hausse d'impôt de 0,25% sur les fortunes imposables de plus de 3 millions pendant dix ans. Deux mesures pérennes s'y ajoutent: un triplement des déductions sociales sur la fortune et un relèvement de 1% du bouclier fiscal.",
6608,27.9,27.9,72.1,"CarouGE","Carouge (GE)","CarouGE GE",,"Les habitants de Carouge (GE) ont refusé avec 72,1 pour cent des voix une contribution de solidarité à charge des plus riches. L'initiative prévoit une hausse d'impôt de 0,25% sur les fortunes imposables de plus de 3 millions pendant dix ans. Deux mesures pérennes s'y ajoutent: un triplement des déductions sociales sur la fortune et un relèvement de 1% du bouclier fiscal.",
6609,79,79,21,"Cartigny GE","Cartigny (GE)","Cartigny GE",,"C'est oui à 79 pour cent à Cartigny à une contribution de solidarité à charge des plus riches. L'initiative prévoit une hausse d'impôt de 0,25% sur les fortunes imposables de plus de 3 millions pendant dix ans. Deux mesures pérennes s'y ajoutent: un triplement des déductions sociales sur la fortune et un relèvement de 1% du bouclier fiscal.",
6610,51.9,51.9,48.1,"Céligny GE","Céligny (GE)","Céligny GE",,"Les habitants de Céligny ont approuvé avec 51,9 pour cent des voix une contribution de solidarité de la part des plus riches. L'initiative prévoit une hausse d'impôt de 0,25% sur les fortunes imposables de plus de 3 millions pendant dix ans. Deux mesures pérennes s'y ajoutent: un triplement des déductions sociales sur la fortune et un relèvement de 1% du bouclier fiscal.",
