"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_d","Text_f","Text_i"
3001,36.1,36.1,63.9,"Herisau AR","Herisau (AR)","Herisau AR","Herisau hat das Klimaschutzgesetz mit 63,9 Prozent abgelehnt. Damit hat in Herisau die Ablehnung im Vergleich zur letzten umweltpolitischen Abstimmung über das CO2-Gesetz vom 13. Juni 2021 noch einmal zugenommen. Damals betrug der Nein-Stimmen-Anteil 56,9 Prozent.","La modification de la loi sur le climat n'a pas trouvé grâce aux yeux des citoyens de Herisau. Ils ont refusé le texte à 63,9 pour cent. Le refus de la loi  climat est plus fort que celui de la loi sur le CO2 le 13 juin 2021. La proportion de ""non"" à Herisau était alors de 56,9 pour cent.","Nel comune di Herisau la legge sul clima è stata respinta con il 63,9 percento dei voti. Il rifiuto della legge sul clima è maggiore a Herisau rispetto alla votazione sulla legge CO2 del 13 giugno 2021, quando era stato del 43,1 percento."
3002,65.4,65.4,34.6,"Hundwil AR","Hundwil (AR)","Hundwil AR","65,4 Prozent der Stimmbürgerinnen und Stimmbürger von Hundwil haben das Klimaschutzgesetz angenommen. Damit hat in Hundwil seit der letzten umweltpolitischen Abstimmung über das CO2-Gesetz vor rund zwei Jahren ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 74,9 Prozent ein Nein in die Urne gelegt.","Les habitants de Hundwil soutiennent à 65,4 pour cent la modification de la loi sur le climat. Avec ce résultat, Hundwil bascule dans le camp du oui. La commune avait rejeté la loi CO2 le 13 juin 2021 avec 74,9 pour cent des voix.","A Hundwil i cittadini hanno accolto, con il 65,4 percento dei voti, la legge sul clima. Con questo risultato, Hundwil ha cambiato opinione sulla tematica: nel 2021 aveva respinto la legge sul CO2 con il 74,9 percento."
3003,49.2,49.2,50.8,"Schönengrund AR","Schönengrund (AR)","Schönengrund AR","Nein zum Klimaschutzgesetz in Schönengrund. Die Gemeinde hat die Vorlage mit 50,8 Prozent abgelehnt. Damit sind in Schönengrund im Vergleich zur letzten umweltpolitischen Abstimmung über das CO2-Gesetz vom 13. Juni 2021  weniger Stimmberechtigte gegen ein Verbot von Tabakwerbung. Damals betrug der Nein-Stimmen-Anteil 82 Prozent.","A Schönengrund, les citoyens rejettent à 50,8 pour cent la loi sur le climat. Le rejet de la loi est toutefois moins fort que celui de la loi sur le CO2 le 13 juin 2021, les habitants de Schönengrund avaient dit non à 82 pour cent.","I cittadini di Schönengrund si sono espressi contro la legge sul clima. Il testo è stato respinto con il 50,8 percento dei voti. Il rifiuto della legge sul clima è meno marcato a Schönengrund rispetto alla votazione sulla legge CO2 del 13 giugno 2021, quando era stato del 82 percento."
3004,14.1,14.1,85.9,"Schwellbrunn AR","Schwellbrunn (AR)","Schwellbrunn AR","In Schwellbrunn hat das Klimaschutzgesetz keine Mehrheit gefunden. Auf 85,9 Prozent der abgegebenen Stimmzettel stand ein Nein. Damit hat in Schwellbrunn die Ablehnung im Vergleich zur letzten umweltpolitischen Abstimmung über das CO2-Gesetz vom 13. Juni 2021 noch einmal zugenommen. Damals betrug der Nein-Stimmen-Anteil 72,2 Prozent.","La loi sur le climat est refusée à 85,9 pour cent à Schwellbrunn. Le refus de la loi  climat est plus fort que celui de la loi sur le CO2 le 13 juin 2021. La proportion de ""non"" à Schwellbrunn était alors de 72,2 pour cent.","Nel comune di Schwellbrunn la legge sul clima è stata bocciata con il 85,9 percento dei voti. Il rifiuto della legge sul clima è maggiore a Schwellbrunn rispetto alla votazione sulla legge CO2 del 13 giugno 2021, quando era stato del 27,8 percento."
3005,27.8,27.8,72.2,"Stein AR","Stein (AR)","Stein AR","Nein zum Klimaschutzgesetz in Stein AR. Die Gemeinde hat die Vorlage mit 72,2 Prozent abgelehnt. Damit hat in Stein AR die Ablehnung im Vergleich zur letzten umweltpolitischen Abstimmung über das CO2-Gesetz vom 13. Juni 2021 noch einmal zugenommen. Damals betrug der Nein-Stimmen-Anteil 58,6 Prozent.","A Stein (AR), les citoyens rejettent à 72,2 pour cent la loi sur le climat. Le refus de la loi  climat est plus fort que celui de la loi sur le CO2 le 13 juin 2021. La proportion de ""non"" à Stein (AR) était alors de 58,6 pour cent.","I cittadini di Stein AR si sono espressi contro la legge sul clima. Il testo è stato respinto con il 72,2 percento dei voti. Il rifiuto della legge sul clima è maggiore a Stein AR rispetto alla votazione sulla legge CO2 del 13 giugno 2021, quando era stato del 41,4 percento."
3006,82.9,82.9,17.1,"Urnäsch AR","Urnäsch (AR)","Urnäsch AR","Die Gemeinde Urnäsch hat das Klimaschutzgesetz mit 82,9 Prozent Ja-Stimmen angenommen. Damit hat in Urnäsch seit der letzten umweltpolitischen Abstimmung über das CO2-Gesetz vor rund zwei Jahren ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 71,4 Prozent ein Nein in die Urne gelegt.","La population d'Urnäsch approuve à 82,9 pour cent la loi sur le climat. Avec ce résultat, Urnäsch bascule dans le camp du oui. La commune avait rejeté la loi CO2 le 13 juin 2021 avec 71,4 pour cent des voix.","Nel comune di Urnäsch la legge sul clima è stata accettata con il 82,9 percento dei voti. Con questo risultato, Urnäsch ha cambiato opinione sulla tematica: nel 2021 aveva respinto la legge sul CO2 con il 71,4 percento."
3007,6.3,6.3,93.7,"Waldstatt AR","Waldstatt (AR)","Waldstatt AR","Keine Mehrheit für das Klimaschutzgesetz in Waldstatt: Mit 5'767 Nein-Stimmen zu 390 Ja-Stimmen oder 93,7 Prozent hat die Gemeinde die Vorlage verworfen. Damit hat in Waldstatt die Ablehnung im Vergleich zur letzten umweltpolitischen Abstimmung über das CO2-Gesetz vom 13. Juni 2021 noch einmal zugenommen. Damals betrug der Nein-Stimmen-Anteil 63,4 Prozent.","La loi sur le climat n'a pas convaincu à Waldstatt. Les citoyens de la commune ont refusé le texte à 93,7 pour cent. Le refus de la loi  climat est plus fort que celui de la loi sur le CO2 le 13 juin 2021. La proportion de ""non"" à Waldstatt était alors de 63,4 pour cent.","Da Waldstatt è arrivato un ""no"" alle urne per la legge sul clima. I cittadini hanno bocciato il testo con il 93,7 percento dei voti. Il rifiuto della legge sul clima è maggiore a Waldstatt rispetto alla votazione sulla legge CO2 del 13 giugno 2021, quando era stato del 36,6 percento."
3021,95.3,95.3,4.7,"Bühler AR","Bühler (AR)","Bühler AR","95,3 Prozent der Stimmbürgerinnen und Stimmbürger von Bühler haben das Klimaschutzgesetz angenommen. Damit hat in Bühler seit der letzten umweltpolitischen Abstimmung über das CO2-Gesetz vor rund zwei Jahren ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 62,4 Prozent ein Nein in die Urne gelegt.","Les habitants de Bühler soutiennent à 95,3 pour cent la modification de la loi sur le climat. Avec ce résultat, Bühler bascule dans le camp du oui. La commune avait rejeté la loi CO2 le 13 juin 2021 avec 62,4 pour cent des voix.","A Bühler i cittadini hanno accolto, con il 95,3 percento dei voti, la legge sul clima. Con questo risultato, Bühler ha cambiato opinione sulla tematica: nel 2021 aveva respinto la legge sul CO2 con il 62,4 percento."
3022,71.3,71.3,28.7,"Gais AR","Gais (AR)","Gais AR","In Gais hat die Stimmbevölkerung dem Klimaschutzgesetz zugestimmt. Die Vorlage wurde mit einem Ja-Stimmen-Anteil von 71,3 Prozent angenommen. Damit hat in Gais seit der letzten umweltpolitischen Abstimmung über das CO2-Gesetz vor rund zwei Jahren ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 53,6 Prozent ein Nein in die Urne gelegt.","La loi sur le climat est approuvée à Gais par 71,3 pour cent des votants. Avec ce résultat, Gais bascule dans le camp du oui. La commune avait rejeté la loi CO2 le 13 juin 2021 avec 53,6 pour cent des voix.","I cittadini di Gais si sono espressi a favore della legge sul clima. Il testo è stato approvato con il 71,3 percento dei voti. Con questo risultato, Gais ha cambiato opinione sulla tematica: nel 2021 aveva respinto la legge sul CO2 con il 53,6 percento."
3023,79.5,79.5,20.5,"Speicher AR","Speicher (AR)","Speicher AR","79,5 Prozent der Stimmbürgerinnen und Stimmbürger von Speicher haben das Klimaschutzgesetz angenommen. Im Vergleich zur Abstimmung über das CO2Gesetz vor zwei Jahren hat in Speicher die Zustimmung noch einmal zugenommen. Damals betrug der Ja-Stimmen-Anteil 54,9 Prozent.","Les habitants de Speicher soutiennent à 79,5 pour cent la modification de la loi sur le climat. Le soutien à la protection du climat a augmenté à Speicher depuis la précédente votation portant sur la loi CO2. Lors de cette votation le 13 juin 2021, il était de 54,9 pour cent.","A Speicher i cittadini hanno accolto, con il 79,5 percento dei voti, la legge sul clima. Il sostegno alla protezione del clima è aumentato a Speicher dalla votazione sulla legge CO2 del 13 giugno 2021, quando era stato del 54,9 percento."
3024,8,8,92,"Teufen AR","Teufen (AR)","Teufen AR","Nein zum Klimaschutzgesetz in Teufen AR. Die Gemeinde hat die Vorlage mit 92 Prozent abgelehnt. Damit hat in Teufen AR die Ablehnung im Vergleich zur letzten umweltpolitischen Abstimmung über das CO2-Gesetz vom 13. Juni 2021 noch einmal zugenommen. Damals betrug der Nein-Stimmen-Anteil 51,8 Prozent.","A Teufen (AR), les citoyens rejettent à 92 pour cent la loi sur le climat. Le refus de la loi  climat est plus fort que celui de la loi sur le CO2 le 13 juin 2021. La proportion de ""non"" à Teufen (AR) était alors de 51,8 pour cent.","I cittadini di Teufen AR si sono espressi contro la legge sul clima. Il testo è stato respinto con il 92 percento dei voti. Il rifiuto della legge sul clima è maggiore a Teufen AR rispetto alla votazione sulla legge CO2 del 13 giugno 2021, quando era stato del 48,2 percento."
3025,81.5,81.5,18.5,"Trogen AR","Trogen (AR)","Trogen AR","Die Gemeinde Trogen hat das Klimaschutzgesetz mit 81,5 Prozent Ja-Stimmen angenommen. Im Vergleich zur Abstimmung über das CO2Gesetz vor zwei Jahren hat in Trogen die Zustimmung noch einmal zugenommen. Damals betrug der Ja-Stimmen-Anteil 62 Prozent.","La population de Trogen approuve à 81,5 pour cent la loi sur le climat. Le soutien à la protection du climat a augmenté à Trogen depuis la précédente votation portant sur la loi CO2. Lors de cette votation le 13 juin 2021, il était de 62 pour cent.","Nel comune di Trogen la legge sul clima è stata accettata con il 81,5 percento dei voti. Il sostegno alla protezione del clima è aumentato a Trogen dalla votazione sulla legge CO2 del 13 giugno 2021, quando era stato del 62 percento."
3031,88.3,88.3,11.7,"Grub AR","Grub (AR)","Grub AR","Ja zum Klimaschutzgesetz in Grub AR. Die Gemeinde hat die Vorlage mit 88,3 Prozent der Stimmen angenommen. Damit hat in Grub AR seit der letzten umweltpolitischen Abstimmung über das CO2-Gesetz vor rund zwei Jahren ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 63,2 Prozent ein Nein in die Urne gelegt.","La loi sur le climat passe la rampe avec 88,3 pour cent de oui à Grub (AR). Avec ce résultat, Grub (AR) bascule dans le camp du oui. La commune avait rejeté la loi CO2 le 13 juin 2021 avec 63,2 pour cent des voix.","Da Grub AR è arrivato un ""sì"" alle urne per la legge sul clima. I cittadini hanno accolto il testo con il 88,3 percento dei voti. Con questo risultato, Grub AR ha cambiato opinione sulla tematica: nel 2021 aveva respinto la legge sul CO2 con il 63,2 percento."
3032,26,26,74,"Heiden AR","Heiden (AR)","Heiden AR","Nein zum Klimaschutzgesetz in Heiden: Mit 6'905 Nein- zu 2'424 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger die Vorlage abgelehnt. Das sind 74 Prozent. Damit hat in Heiden die Ablehnung im Vergleich zur letzten umweltpolitischen Abstimmung über das CO2-Gesetz vom 13. Juni 2021 noch einmal zugenommen. Damals betrug der Nein-Stimmen-Anteil 55,2 Prozent.","C'est non à la loi sur le climat à Heiden. Les habitants ont refusé le texte à 74 pour cent. Le refus de la loi  climat est plus fort que celui de la loi sur le CO2 le 13 juin 2021. La proportion de ""non"" à Heiden était alors de 55,2 pour cent.","A Heiden i cittadini hanno respinto, con il 74 percento dei voti, la legge sul clima. Il rifiuto della legge sul clima è maggiore a Heiden rispetto alla votazione sulla legge CO2 del 13 giugno 2021, quando era stato del 44,8 percento."
3033,54.5,54.5,45.5,"Lutzenberg AR","Lutzenberg (AR)","Lutzenberg AR","In Lutzenberg hat die Stimmbevölkerung dem Klimaschutzgesetz zugestimmt. Die Vorlage wurde mit einem Ja-Stimmen-Anteil von 54,5 Prozent angenommen. Damit hat in Lutzenberg seit der letzten umweltpolitischen Abstimmung über das CO2-Gesetz vor rund zwei Jahren ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 68,2 Prozent ein Nein in die Urne gelegt.","La loi sur le climat est approuvée à Lutzenberg par 54,5 pour cent des votants. Avec ce résultat, Lutzenberg bascule dans le camp du oui. La commune avait rejeté la loi CO2 le 13 juin 2021 avec 68,2 pour cent des voix.","I cittadini di Lutzenberg si sono espressi a favore della legge sul clima. Il testo è stato approvato con il 54,5 percento dei voti. Con questo risultato, Lutzenberg ha cambiato opinione sulla tematica: nel 2021 aveva respinto la legge sul CO2 con il 68,2 percento."
3034,22.3,22.3,77.7,"Rehetobel AR","Rehetobel (AR)","Rehetobel AR","In Rehetobel hat die Stimmbevölkerung das Klimaschutzgesetz abgelehnt. Die Vorlage wurde mit einem Nein-Stimmen-Anteil von 77,7 Prozent verworfen. Damit hat Rehetobel seine Einstellung im Vergleich zur letzten umweltpolitischen Abstimmung vor rund zwei Jahren über das CO2-Gesetz geändert: Damals hatte noch eine Mehrheit von 53,6 Prozent ein Ja in die Urne gelegt.","La population de Rehetobel rejette à 77,7 pour cent des voix la loi sur le climat. En deux ans, la commune a ainsi changé de camp en matière de protection du climat. Rehetobel avait approuvé la loi sur le CO2 à 46,4 pour cent lors des votations du 13 juin 2021.","Con il 77,7 percento di ""no"", i cittadini del comune di Rehetobel hanno respinto la legge sul clima. Con questo risultato, Rehetobel ha cambiato opinione sulla tematica: nel 2021 aveva approvato la legge sul CO2 con il 53,6 percento."
