"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_d","Text_f","Text_i"
2701,42.7,42.7,57.3,"Basel BS","Bâle (BS)","Basilea BS","Nein zum Klimaschutzgesetz in Basel. Die Gemeinde hat die Vorlage mit 57,3 Prozent abgelehnt. Damit hat Basel seine Einstellung im Vergleich zur letzten umweltpolitischen Abstimmung vor rund zwei Jahren über das CO2-Gesetz geändert: Damals hatte noch eine Mehrheit von 68 Prozent ein Ja in die Urne gelegt.","A Bâle, les citoyens rejettent à 57,3 pour cent la loi sur le climat. En deux ans, la commune a ainsi changé de camp en matière de protection du climat. Bâle avait approuvé la loi sur le CO2 à 32 pour cent lors des votations du 13 juin 2021.","I cittadini di Basilea si sono espressi contro la legge sul clima. Il testo è stato respinto con il 57,3 percento dei voti. Con questo risultato, Basilea ha cambiato opinione sulla tematica: nel 2021 aveva approvato la legge sul CO2 con il 68 percento."
2702,57.5,57.5,42.5,"Bettingen BS","Bettingen (BS)","Bettingen BS","In Bettingen hat die Stimmbevölkerung dem Klimaschutzgesetz zugestimmt. Die Vorlage wurde mit einem Ja-Stimmen-Anteil von 57,5 Prozent angenommen. Damit hat in Bettingen seit der letzten umweltpolitischen Abstimmung über das CO2-Gesetz vor rund zwei Jahren ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 52,8 Prozent ein Nein in die Urne gelegt.","La loi sur le climat est approuvée à Bettingen par 57,5 pour cent des votants. Avec ce résultat, Bettingen bascule dans le camp du oui. La commune avait rejeté la loi CO2 le 13 juin 2021 avec 52,8 pour cent des voix.","I cittadini di Bettingen si sono espressi a favore della legge sul clima. Il testo è stato approvato con il 57,5 percento dei voti. Con questo risultato, Bettingen ha cambiato opinione sulla tematica: nel 2021 aveva respinto la legge sul CO2 con il 52,8 percento."
2703,37.2,37.2,62.8,"Riehen BS","Riehen (BS)","Riehen BS","Nein zum Klimaschutzgesetz in Riehen. Die Gemeinde hat die Vorlage mit 62,8 Prozent abgelehnt. Damit hat Riehen seine Einstellung im Vergleich zur letzten umweltpolitischen Abstimmung vor rund zwei Jahren über das CO2-Gesetz geändert: Damals hatte noch eine Mehrheit von 57 Prozent ein Ja in die Urne gelegt.","A Riehen, les citoyens rejettent à 62,8 pour cent la loi sur le climat. En deux ans, la commune a ainsi changé de camp en matière de protection du climat. Riehen avait approuvé la loi sur le CO2 à 43 pour cent lors des votations du 13 juin 2021.","I cittadini di Riehen si sono espressi contro la legge sul clima. Il testo è stato respinto con il 62,8 percento dei voti. Con questo risultato, Riehen ha cambiato opinione sulla tematica: nel 2021 aveva approvato la legge sul CO2 con il 57 percento."
2761,38.9,38.9,61.1,"Aesch BL","Aesch (BL)","Aesch BL","Aesch BL hat das Klimaschutzgesetz mit 61,1 Prozent abgelehnt. Damit hat in Aesch BL die Ablehnung im Vergleich zur letzten umweltpolitischen Abstimmung über das CO2-Gesetz vom 13. Juni 2021 noch einmal zugenommen. Damals betrug der Nein-Stimmen-Anteil 57,2 Prozent.","La modification de la loi sur le climat n'a pas trouvé grâce aux yeux des citoyens d'Aesch (BL). Ils ont refusé le texte à 61,1 pour cent. Le refus de la loi  climat est plus fort que celui de la loi sur le CO2 le 13 juin 2021. La proportion de ""non"" à Aesch (BL) était alors de 57,2 pour cent.","Nel comune di Aesch BL la legge sul clima è stata respinta con il 61,1 percento dei voti. Il rifiuto della legge sul clima è maggiore a Aesch BL rispetto alla votazione sulla legge CO2 del 13 giugno 2021, quando era stato del 42,8 percento."
2762,98.4,98.4,1.6,"Allschwil BL","Allschwil (BL)","Allschwil BL","Ja zum Klimaschutzgesetz in Allschwil: Mit 98,4 Prozent haben die Stimmbürgerinnen und Stimmbürger die Vorlage angenommen. Im Vergleich zur Abstimmung über das CO2Gesetz vor zwei Jahren hat in Allschwil die Zustimmung noch einmal zugenommen. Damals betrug der Ja-Stimmen-Anteil 52,6 Prozent.","Allschwil dit oui à 98,4 pour cent à la modification de la loi sur le climat. Le soutien à la protection du climat a augmenté à Allschwil depuis la précédente votation portant sur la loi CO2. Lors de cette votation le 13 juin 2021, il était de 52,6 pour cent.","Sì alla legge sul clima nel comune di Allschwil: i cittadini hanno approvato il testo con il 98,4 percento dei voti. Il sostegno alla protezione del clima è aumentato a Allschwil dalla votazione sulla legge CO2 del 13 giugno 2021, quando era stato del 52,6 percento."
2763,10.1,10.1,89.9,"Arlesheim BL","Arlesheim (BL)","Arlesheim BL","Nein zum Klimaschutzgesetz in Arlesheim. Die Gemeinde hat die Vorlage mit 89,9 Prozent abgelehnt. Damit hat Arlesheim seine Einstellung im Vergleich zur letzten umweltpolitischen Abstimmung vor rund zwei Jahren über das CO2-Gesetz geändert: Damals hatte noch eine Mehrheit von 59,7 Prozent ein Ja in die Urne gelegt.","A Arlesheim, les citoyens rejettent à 89,9 pour cent la loi sur le climat. En deux ans, la commune a ainsi changé de camp en matière de protection du climat. Arlesheim avait approuvé la loi sur le CO2 à 40,3 pour cent lors des votations du 13 juin 2021.","I cittadini di Arlesheim si sono espressi contro la legge sul clima. Il testo è stato respinto con il 89,9 percento dei voti. Con questo risultato, Arlesheim ha cambiato opinione sulla tematica: nel 2021 aveva approvato la legge sul CO2 con il 59,7 percento."
2764,41.9,41.9,58.1,"Biel-Benken BL","Biel-Benken (BL)","Biel-Benken BL","Nein zum Klimaschutzgesetz in Biel-Benken: Mit 9'300 Nein- zu 6'718 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger die Vorlage abgelehnt. Das sind 58,1 Prozent. Damit hat Biel-Benken seine Einstellung im Vergleich zur letzten umweltpolitischen Abstimmung vor rund zwei Jahren über das CO2-Gesetz geändert: Damals hatte noch eine Mehrheit von 51,5 Prozent ein Ja in die Urne gelegt.","C'est non à la loi sur le climat à Biel-Benken. Les habitants ont refusé le texte à 58,1 pour cent. En deux ans, la commune a ainsi changé de camp en matière de protection du climat. Biel-Benken avait approuvé la loi sur le CO2 à 48,5 pour cent lors des votations du 13 juin 2021.","A Biel-Benken i cittadini hanno respinto, con il 58,1 percento dei voti, la legge sul clima. Con questo risultato, Biel-Benken ha cambiato opinione sulla tematica: nel 2021 aveva approvato la legge sul CO2 con il 51,5 percento."
2765,26.4,26.4,73.6,"Binningen BL","Binningen (BL)","Binningen BL","Nein zum Klimaschutzgesetz in Binningen. Die Gemeinde hat die Vorlage mit 73,6 Prozent abgelehnt. Damit hat Binningen seine Einstellung im Vergleich zur letzten umweltpolitischen Abstimmung vor rund zwei Jahren über das CO2-Gesetz geändert: Damals hatte noch eine Mehrheit von 58,3 Prozent ein Ja in die Urne gelegt.","A Binningen, les citoyens rejettent à 73,6 pour cent la loi sur le climat. En deux ans, la commune a ainsi changé de camp en matière de protection du climat. Binningen avait approuvé la loi sur le CO2 à 41,7 pour cent lors des votations du 13 juin 2021.","I cittadini di Binningen si sono espressi contro la legge sul clima. Il testo è stato respinto con il 73,6 percento dei voti. Con questo risultato, Binningen ha cambiato opinione sulla tematica: nel 2021 aveva approvato la legge sul CO2 con il 58,3 percento."
2766,47.9,47.9,52.1,"Birsfelden BL","Birsfelden (BL)","Birsfelden BL","52,1 Prozent der Stimmbürgerinnen und Stimmbürger von Birsfelden sagen Nein zum Klimaschutzgesetz. Damit hat Birsfelden seine Einstellung im Vergleich zur letzten umweltpolitischen Abstimmung vor rund zwei Jahren über das CO2-Gesetz geändert: Damals hatte noch eine Mehrheit von 53,8 Prozent ein Ja in die Urne gelegt.","Les habitants de Birsfelden s'opposent à la modification de la loi sur le climat par 52,1 pour cent des voix. En deux ans, la commune a ainsi changé de camp en matière de protection du climat. Birsfelden avait approuvé la loi sur le CO2 à 46,2 pour cent lors des votations du 13 juin 2021.","No alla legge sul clima nel comune di Birsfelden: i cittadini hanno bocciato il testo con il 52,1 percento dei voti. Con questo risultato, Birsfelden ha cambiato opinione sulla tematica: nel 2021 aveva approvato la legge sul CO2 con il 53,8 percento."
2767,56.7,56.7,43.3,"Bottmingen BL","Bottmingen (BL)","Bottmingen BL","In Bottmingen hat die Stimmbevölkerung dem Klimaschutzgesetz zugestimmt. Die Vorlage wurde mit einem Ja-Stimmen-Anteil von 56,7 Prozent angenommen. Im Vergleich zur Abstimmung über das CO2Gesetz vor zwei Jahren hat in Bottmingen die Zustimmung noch einmal zugenommen. Damals betrug der Ja-Stimmen-Anteil 53,7 Prozent.","La loi sur le climat est approuvée à Bottmingen par 56,7 pour cent des votants. Le soutien à la protection du climat a augmenté à Bottmingen depuis la précédente votation portant sur la loi CO2. Lors de cette votation le 13 juin 2021, il était de 53,7 pour cent.","I cittadini di Bottmingen si sono espressi a favore della legge sul clima. Il testo è stato approvato con il 56,7 percento dei voti. Il sostegno alla protezione del clima è aumentato a Bottmingen dalla votazione sulla legge CO2 del 13 giugno 2021, quando era stato del 53,7 percento."
2768,87.3,87.3,12.7,"Ettingen BL","Ettingen (BL)","Ettingen BL","In Ettingen hat die Stimmbevölkerung dem Klimaschutzgesetz zugestimmt. Die Vorlage wurde mit einem Ja-Stimmen-Anteil von 87,3 Prozent angenommen. Damit hat in Ettingen seit der letzten umweltpolitischen Abstimmung über das CO2-Gesetz vor rund zwei Jahren ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 53,1 Prozent ein Nein in die Urne gelegt.","La loi sur le climat est approuvée à Ettingen par 87,3 pour cent des votants. Avec ce résultat, Ettingen bascule dans le camp du oui. La commune avait rejeté la loi CO2 le 13 juin 2021 avec 53,1 pour cent des voix.","I cittadini di Ettingen si sono espressi a favore della legge sul clima. Il testo è stato approvato con il 87,3 percento dei voti. Con questo risultato, Ettingen ha cambiato opinione sulla tematica: nel 2021 aveva respinto la legge sul CO2 con il 53,1 percento."
2769,33.8,33.8,66.2,"Münchenstein BL","Münchenstein (BL)","Münchenstein BL","Nein zum Klimaschutzgesetz in Münchenstein. Die Gemeinde hat die Vorlage mit 66,2 Prozent abgelehnt. Damit hat Münchenstein seine Einstellung im Vergleich zur letzten umweltpolitischen Abstimmung vor rund zwei Jahren über das CO2-Gesetz geändert: Damals hatte noch eine Mehrheit von 53,7 Prozent ein Ja in die Urne gelegt.","A Münchenstein, les citoyens rejettent à 66,2 pour cent la loi sur le climat. En deux ans, la commune a ainsi changé de camp en matière de protection du climat. Münchenstein avait approuvé la loi sur le CO2 à 46,3 pour cent lors des votations du 13 juin 2021.","I cittadini di Münchenstein si sono espressi contro la legge sul clima. Il testo è stato respinto con il 66,2 percento dei voti. Con questo risultato, Münchenstein ha cambiato opinione sulla tematica: nel 2021 aveva approvato la legge sul CO2 con il 53,7 percento."
2770,46.2,46.2,53.8,"Muttenz BL","Muttenz (BL)","Muttenz BL","Nein zum Klimaschutzgesetz in Muttenz: Mit 5'032 Nein- zu 4'329 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger die Vorlage abgelehnt. Das sind 53,8 Prozent. Damit hat Muttenz seine Einstellung im Vergleich zur letzten umweltpolitischen Abstimmung vor rund zwei Jahren über das CO2-Gesetz geändert: Damals hatte noch eine Mehrheit von 50 Prozent ein Ja in die Urne gelegt.","C'est non à la loi sur le climat à Muttenz. Les habitants ont refusé le texte à 53,8 pour cent. En deux ans, la commune a ainsi changé de camp en matière de protection du climat. Muttenz avait approuvé la loi sur le CO2 à 50 pour cent lors des votations du 13 juin 2021.","A Muttenz i cittadini hanno respinto, con il 53,8 percento dei voti, la legge sul clima. Con questo risultato, Muttenz ha cambiato opinione sulla tematica: nel 2021 aveva approvato la legge sul CO2 con il 50 percento."
2771,43.1,43.1,56.9,"Oberwil BL","Oberwil (BL)","Oberwil BL","In Oberwil BL hat die Stimmbevölkerung das Klimaschutzgesetz abgelehnt. Die Vorlage wurde mit einem Nein-Stimmen-Anteil von 56,9 Prozent verworfen. Damit hat Oberwil BL seine Einstellung im Vergleich zur letzten umweltpolitischen Abstimmung vor rund zwei Jahren über das CO2-Gesetz geändert: Damals hatte noch eine Mehrheit von 51,6 Prozent ein Ja in die Urne gelegt.","La population d'Oberwil (BL) rejette à 56,9 pour cent des voix la loi sur le climat. En deux ans, la commune a ainsi changé de camp en matière de protection du climat. Oberwil (BL) avait approuvé la loi sur le CO2 à 48,4 pour cent lors des votations du 13 juin 2021.","Con il 56,9 percento di ""no"", i cittadini del comune di Oberwil BL hanno respinto la legge sul clima. Con questo risultato, Oberwil BL ha cambiato opinione sulla tematica: nel 2021 aveva approvato la legge sul CO2 con il 51,6 percento."
2772,57.2,57.2,42.8,"Pfeffingen BL","Pfeffingen (BL)","Pfeffingen BL","57,2 Prozent der Abstimmenden in der Gemeinde Pfeffingen haben Ja gesagt zum Klimaschutzgesetz. Damit hat in Pfeffingen seit der letzten umweltpolitischen Abstimmung über das CO2-Gesetz vor rund zwei Jahren ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 60,5 Prozent ein Nein in die Urne gelegt.","Les habitants de Pfeffingen acceptent avec 57,2 pour cent de oui la modification de la loi sur le climat. Avec ce résultat, Pfeffingen bascule dans le camp du oui. La commune avait rejeté la loi CO2 le 13 juin 2021 avec 60,5 pour cent des voix.","Con il 57,2 percento di ""sì"", i cittadini del comune di Pfeffingen hanno accolto la legge sul clima. Con questo risultato, Pfeffingen ha cambiato opinione sulla tematica: nel 2021 aveva respinto la legge sul CO2 con il 60,5 percento."
