"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_d","Text_f","Text_i"
1,36.2,36.2,63.8,"Aeugst am Albis ZH","Aeugst am Albis (ZH)","Aeugst am Albis ZH","In Aeugst am Albis hat das Klimaschutzgesetz keine Mehrheit gefunden. Auf 63,8 Prozent der abgegebenen Stimmzettel stand ein Nein. Damit hat Aeugst am Albis seine Einstellung im Vergleich zur letzten umweltpolitischen Abstimmung vor rund zwei Jahren über das CO2-Gesetz geändert: Damals hatte noch eine Mehrheit von 53,2 Prozent ein Ja in die Urne gelegt.","La loi sur le climat est refusée à 63,8 pour cent à Aeugst am Albis. En deux ans, la commune a ainsi changé de camp en matière de protection du climat. Aeugst am Albis avait approuvé la loi sur le CO2 à 46,8 pour cent lors des votations du 13 juin 2021.","Nel comune di Aeugst am Albis la legge sul clima è stata bocciata con il 63,8 percento dei voti. Con questo risultato, Aeugst am Albis ha cambiato opinione sulla tematica: nel 2021 aveva approvato la legge sul CO2 con il 53,2 percento."
2,62.5,62.5,37.5,"Affoltern am Albis ZH","Affoltern am Albis (ZH)","Affoltern am Albis ZH","62,5 Prozent der Abstimmenden in der Gemeinde Affoltern am Albis haben Ja gesagt zum Klimaschutzgesetz. Im Vergleich zur Abstimmung über das CO2Gesetz vor zwei Jahren hat in Affoltern am Albis die Zustimmung noch einmal zugenommen. Damals betrug der Ja-Stimmen-Anteil 51,2 Prozent.","Les habitants d'Affoltern am Albis acceptent avec 62,5 pour cent de oui la modification de la loi sur le climat. Le soutien à la protection du climat a augmenté à Affoltern am Albis depuis la précédente votation portant sur la loi CO2. Lors de cette votation le 13 juin 2021, il était de 51,2 pour cent.","Con il 62,5 percento di ""sì"", i cittadini del comune di Affoltern am Albis hanno accolto la legge sul clima. Il sostegno alla protezione del clima è aumentato a Affoltern am Albis dalla votazione sulla legge CO2 del 13 giugno 2021, quando era stato del 51,2 percento."
3,83.4,83.4,16.6,"Bonstetten ZH","Bonstetten (ZH)","Bonstetten ZH","83,4 Prozent der Abstimmenden in der Gemeinde Bonstetten haben Ja gesagt zum Klimaschutzgesetz. Im Vergleich zur Abstimmung über das CO2Gesetz vor zwei Jahren hat in Bonstetten die Zustimmung noch einmal zugenommen. Damals betrug der Ja-Stimmen-Anteil 55,1 Prozent.","Les habitants de Bonstetten acceptent avec 83,4 pour cent de oui la modification de la loi sur le climat. Le soutien à la protection du climat a augmenté à Bonstetten depuis la précédente votation portant sur la loi CO2. Lors de cette votation le 13 juin 2021, il était de 55,1 pour cent.","Con il 83,4 percento di ""sì"", i cittadini del comune di Bonstetten hanno accolto la legge sul clima. Il sostegno alla protezione del clima è aumentato a Bonstetten dalla votazione sulla legge CO2 del 13 giugno 2021, quando era stato del 55,1 percento."
4,58,58,42,"Hausen am Albis ZH","Hausen am Albis (ZH)","Hausen am Albis ZH","Die Gemeinde Hausen am Albis hat das Klimaschutzgesetz mit 58 Prozent angenommen.","A Hausen am Albis, les habitants disent oui à  58 pour cent à la modification de la loi sur le climat.","Nel comune di Hausen am Albis la legge sul clima è stata approvata con il 58 percento dei voti."
5,61.3,61.3,38.7,"Hedingen ZH","Hedingen (ZH)","Hedingen ZH","Ja zum Klimaschutzgesetz in Hedingen: Mit 61,3 Prozent haben die Stimmbürgerinnen und Stimmbürger die Vorlage angenommen. Im Vergleich zur Abstimmung über das CO2Gesetz vor zwei Jahren hat in Hedingen die Zustimmung noch einmal zugenommen. Damals betrug der Ja-Stimmen-Anteil 54,6 Prozent.","Hedingen dit oui à 61,3 pour cent à la modification de la loi sur le climat. Le soutien à la protection du climat a augmenté à Hedingen depuis la précédente votation portant sur la loi CO2. Lors de cette votation le 13 juin 2021, il était de 54,6 pour cent.","Sì alla legge sul clima nel comune di Hedingen: i cittadini hanno approvato il testo con il 61,3 percento dei voti. Il sostegno alla protezione del clima è aumentato a Hedingen dalla votazione sulla legge CO2 del 13 giugno 2021, quando era stato del 54,6 percento."
6,60.7,60.7,39.3,"Kappel am Albis ZH","Kappel am Albis (ZH)","Kappel am Albis ZH","60,7 Prozent der Abstimmenden in der Gemeinde Kappel am Albis haben Ja gesagt zum Klimaschutzgesetz. Damit hat in Kappel am Albis seit der letzten umweltpolitischen Abstimmung über das CO2-Gesetz vor rund zwei Jahren ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 57,9 Prozent ein Nein in die Urne gelegt.","Les habitants de Kappel am Albis acceptent avec 60,7 pour cent de oui la modification de la loi sur le climat. Avec ce résultat, Kappel am Albis bascule dans le camp du oui. La commune avait rejeté la loi CO2 le 13 juin 2021 avec 57,9 pour cent des voix.","Con il 60,7 percento di ""sì"", i cittadini del comune di Kappel am Albis hanno accolto la legge sul clima. Con questo risultato, Kappel am Albis ha cambiato opinione sulla tematica: nel 2021 aveva respinto la legge sul CO2 con il 57,9 percento."
7,58.2,58.2,41.8,"Knonau ZH","Knonau (ZH)","Knonau ZH","Ja zum Klimaschutzgesetz in Knonau: Mit 58,2 Prozent haben die Stimmbürgerinnen und Stimmbürger die Vorlage angenommen. Damit hat in Knonau seit der letzten umweltpolitischen Abstimmung über das CO2-Gesetz vor rund zwei Jahren ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 51,9 Prozent ein Nein in die Urne gelegt.","Knonau dit oui à 58,2 pour cent à la modification de la loi sur le climat. Avec ce résultat, Knonau bascule dans le camp du oui. La commune avait rejeté la loi CO2 le 13 juin 2021 avec 51,9 pour cent des voix.","Sì alla legge sul clima nel comune di Knonau: i cittadini hanno approvato il testo con il 58,2 percento dei voti. Con questo risultato, Knonau ha cambiato opinione sulla tematica: nel 2021 aveva respinto la legge sul CO2 con il 51,9 percento."
8,92.7,92.7,7.3,"Maschwanden ZH","Maschwanden (ZH)","Maschwanden ZH","In Maschwanden hat die Stimmbevölkerung dem Klimaschutzgesetz zugestimmt. Die Vorlage wurde mit einem Ja-Stimmen-Anteil von 92,7 Prozent angenommen. Damit hat in Maschwanden seit der letzten umweltpolitischen Abstimmung über das CO2-Gesetz vor rund zwei Jahren ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 55,6 Prozent ein Nein in die Urne gelegt.","La loi sur le climat est approuvée à Maschwanden par 92,7 pour cent des votants. Avec ce résultat, Maschwanden bascule dans le camp du oui. La commune avait rejeté la loi CO2 le 13 juin 2021 avec 55,6 pour cent des voix.","I cittadini di Maschwanden si sono espressi a favore della legge sul clima. Il testo è stato approvato con il 92,7 percento dei voti. Con questo risultato, Maschwanden ha cambiato opinione sulla tematica: nel 2021 aveva respinto la legge sul CO2 con il 55,6 percento."
9,33.6,33.6,66.4,"Mettmenstetten ZH","Mettmenstetten (ZH)","Mettmenstetten ZH","Nein zum Klimaschutzgesetz in Mettmenstetten. Die Gemeinde hat die Vorlage mit 66,4 Prozent abgelehnt. Damit hat Mettmenstetten seine Einstellung im Vergleich zur letzten umweltpolitischen Abstimmung vor rund zwei Jahren über das CO2-Gesetz geändert: Damals hatte noch eine Mehrheit von 51 Prozent ein Ja in die Urne gelegt.","A Mettmenstetten, les citoyens rejettent à 66,4 pour cent la loi sur le climat. En deux ans, la commune a ainsi changé de camp en matière de protection du climat. Mettmenstetten avait approuvé la loi sur le CO2 à 49 pour cent lors des votations du 13 juin 2021.","I cittadini di Mettmenstetten si sono espressi contro la legge sul clima. Il testo è stato respinto con il 66,4 percento dei voti. Con questo risultato, Mettmenstetten ha cambiato opinione sulla tematica: nel 2021 aveva approvato la legge sul CO2 con il 51 percento."
10,10.1,10.1,89.9,"Obfelden ZH","Obfelden (ZH)","Obfelden ZH","Nein zum Klimaschutzgesetz in Obfelden. Die Gemeinde hat die Vorlage mit 89,9 Prozent abgelehnt. Damit hat in Obfelden die Ablehnung im Vergleich zur letzten umweltpolitischen Abstimmung über das CO2-Gesetz vom 13. Juni 2021 noch einmal zugenommen. Damals betrug der Nein-Stimmen-Anteil 55,6 Prozent.","A Obfelden, les citoyens rejettent à 89,9 pour cent la loi sur le climat. Le refus de la loi  climat est plus fort que celui de la loi sur le CO2 le 13 juin 2021. La proportion de ""non"" à Obfelden était alors de 55,6 pour cent.","I cittadini di Obfelden si sono espressi contro la legge sul clima. Il testo è stato respinto con il 89,9 percento dei voti. Il rifiuto della legge sul clima è maggiore a Obfelden rispetto alla votazione sulla legge CO2 del 13 giugno 2021, quando era stato del 44,4 percento."
