"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_d","Text_f","Text_i"
111,10.4,10.4,89.6,"Bäretswil ZH","Bäretswil (ZH)","Bäretswil ZH","Bäretswil hat die Umsetzung der OECD-Mindeststeuer mit 89,6 Prozent Nein-Stimmen verworfen. Bäretswil hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage angenommen hat.","La modification de la réforme de l'imposition minimale de l'OCDE n'a pas trouvé grâce aux yeux des citoyens de Bäretswil. Ils ont refusé le texte à 89,6 pour cent. Les habitants de Bäretswil ont rejeté le texte, contrairement au canton.","Da Bäretswil è arrivato un ""no"" alle urne per l'imposizione minima OCSE/G20. I cittadini hanno respinto il testo con il 89,6 percento dei voti. Il comune di Bäretswil respingendo il testo è andato controcorrente rispetto al suo cantone."
112,47,47,53,"Bubikon ZH","Bubikon (ZH)","Bubikon ZH","Bubikon hat die Umsetzung der OECD-Mindeststeuer mit 53 Prozent Nein-Stimmen verworfen. Bubikon hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage angenommen hat.","La modification de la réforme de l'imposition minimale de l'OCDE n'a pas trouvé grâce aux yeux des citoyens de Bubikon. Ils ont refusé le texte à 53 pour cent. Les habitants de Bubikon ont rejeté le texte, contrairement au canton.","Da Bubikon è arrivato un ""no"" alle urne per l'imposizione minima OCSE/G20. I cittadini hanno respinto il testo con il 53 percento dei voti. Il comune di Bubikon respingendo il testo è andato controcorrente rispetto al suo cantone."
113,26.3,26.3,73.7,"Dürnten ZH","Dürnten (ZH)","Dürnten ZH","In Dürnten ist die Umsetzung der OECD-Mindeststeuer mit 73,7 Prozent gescheitert. Dürnten hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage angenommen hat.","La réforme de l'imposition minimale de l'OCDE n'a pas convaincu à Dürnten. Les citoyens de la commune ont refusé le texte à 73,7 pour cent. Les habitants de Dürnten ont rejeté le texte, contrairement au canton.","Con il 73,7 percento di ""no"", i cittadini del comune di Dürnten hanno bocciato l'imposizione minima OCSE/G20. Il comune di Dürnten respingendo il testo è andato controcorrente rispetto al suo cantone."
114,42.7,42.7,57.3,"Fischenthal ZH","Fischenthal (ZH)","Fischenthal ZH","57,3 der Stimmbürgerinnen und Stimmbürger von Fischenthal haben die Umsetzung der OECD-Mindeststeuer abgelehnt. Fischenthal hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage angenommen hat.","Les habitants de Fischenthal s'opposent à la modification de la réforme de l'imposition minimale de l'OCDE par 57,3 pour cent des voix. Les habitants de Fischenthal ont rejeté le texte, contrairement au canton.","No all'imposizione minima OCSE/G20 nel comune di Fischenthal: i cittadini hanno bocciato il testo con il 57,3 percento dei voti. Il comune di Fischenthal respingendo il testo è andato controcorrente rispetto al suo cantone."
115,93.2,93.2,6.8,"Gossau ZH","Gossau (ZH)","Gossau ZH","Ja zur Umsetzung der OECD-Mindeststeuer in Gossau ZH. Die Gemeinde hat Vorlage mit 93,2 Prozent der Stimmen angenommen. Gossau ZH hat damit gleich wie der Kanton Zürich Ja gesagt zu dieser Vorlage.","Les habitants de Gossau (ZH) soutiennent à 93,2 pour cent la modification de la réforme de l'imposition minimale de l'OCDE . Les habitants de Gossau (ZH) ont approuvé le texte, tout comme le canton.","A Gossau ZH i cittadini hanno accolto, con il 93,2 percento dei voti, l'imposizione minima OCSE/G20. Il comune di Gossau ZH approvando il testo si è espresso come il suo cantone."
116,65.9,65.9,34.1,"Grüningen ZH","Grüningen (ZH)","Grüningen ZH","Ja zur Umsetzung der OECD-Mindeststeuer in Grüningen. Die Gemeinde hat Vorlage mit 65,9 Prozent der Stimmen angenommen. Grüningen hat damit gleich wie der Kanton Zürich Ja gesagt zu dieser Vorlage.","Les habitants de Grüningen soutiennent à 65,9 pour cent la modification de la réforme de l'imposition minimale de l'OCDE . Les habitants de Grüningen ont approuvé le texte, tout comme le canton.","A Grüningen i cittadini hanno accolto, con il 65,9 percento dei voti, l'imposizione minima OCSE/G20. Il comune di Grüningen approvando il testo si è espresso come il suo cantone."
117,45.3,45.3,54.7,"Hinwil ZH","Hinwil (ZH)","Hinwil ZH","54,7 Prozent der Stimmbürgerinnen und Stimmbürger von Hinwil haben sich gegen die Umsetzung der OECD-Mindeststeuer ausgesprochen. Hinwil hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage angenommen hat.","A Hinwil, les citoyens rejettent à 54,7 pour cent la réforme de l'imposition minimale de l'OCDE. Les habitants de Hinwil ont rejeté le texte, contrairement au canton.","Nel comune di Hinwil l'imposizione minima OCSE/G20 è stata respinta con il 54,7 percento dei voti. Il comune di Hinwil respingendo il testo è andato controcorrente rispetto al suo cantone."
118,87.2,87.2,12.8,"Rüti ZH","Rüti (ZH)","Rüti ZH","Die Umsetzung der OECD-Mindeststeuer ist in Rüti ZH mit 87,2 Prozent der Stimmen angenommen worden. Rüti ZH hat damit gleich wie der Kanton Zürich Ja gesagt zu dieser Vorlage.","La réforme de l'imposition minimale de l'OCDE est approuvée à Rüti (ZH) par 87,2 pour cent des votants. Les habitants de Rüti (ZH) ont approuvé le texte, tout comme le canton.","I cittadini di Rüti ZH si sono espressi a favore dell'imposizione minima OCSE/G20. Il testo è stato approvato con il 87,2 percento dei voti. Il comune di Rüti ZH approvando il testo si è espresso come il suo cantone."
119,42.7,42.7,57.3,"Seegräben ZH","Seegräben (ZH)","Seegräben ZH","In Seegräben hat die Umsetzung der OECD-Mindeststeuer keine Mehrheit gefunden: 57,3 Prozent haben die Vorlage abgelehnt. Seegräben hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage angenommen hat.","C'est non à la réforme de l'imposition minimale de l'OCDE à Seegräben. Les habitants ont refusé le texte à 57,3 pour cent. Les habitants de Seegräben ont rejeté le texte, contrairement au canton.","A Seegräben i cittadini hanno respinto, con il 57,3 percento dei voti, l'imposizione minima OCSE/G20. Il comune di Seegräben respingendo il testo è andato controcorrente rispetto al suo cantone."
120,17.3,17.3,82.7,"Wald ZH","Wald (ZH)","Wald ZH","In Wald ZH ist die Umsetzung der OECD-Mindeststeuer mit 82,7 Prozent gescheitert. Wald ZH hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage angenommen hat.","La réforme de l'imposition minimale de l'OCDE n'a pas convaincu à Wald (ZH). Les citoyens de la commune ont refusé le texte à 82,7 pour cent. Les habitants de Wald (ZH) ont rejeté le texte, contrairement au canton.","Con il 82,7 percento di ""no"", i cittadini del comune di Wald ZH hanno bocciato l'imposizione minima OCSE/G20. Il comune di Wald ZH respingendo il testo è andato controcorrente rispetto al suo cantone."
121,72,72,28,"Wetzikon ZH","Wetzikon (ZH)","Wetzikon ZH","Die Umsetzung der OECD-Mindeststeuer ist in Wetzikon ZH mit 72 Prozent der Stimmen angenommen worden. Wetzikon ZH hat damit gleich wie der Kanton Zürich Ja gesagt zu dieser Vorlage.","La réforme de l'imposition minimale de l'OCDE est approuvée à Wetzikon (ZH) par 72 pour cent des votants. Les habitants de Wetzikon (ZH) ont approuvé le texte, tout comme le canton.","I cittadini di Wetzikon ZH si sono espressi a favore dell'imposizione minima OCSE/G20. Il testo è stato approvato con il 72 percento dei voti. Il comune di Wetzikon ZH approvando il testo si è espresso come il suo cantone."
172,64.9,64.9,35.1,"Fehraltorf ZH","Fehraltorf (ZH)","Fehraltorf ZH","64,9 Prozent der Stimmbürgerinnen und Stimmbürger in Fehraltorf haben Ja gesagt zur Umsetzung der OECD-Mindeststeuer. Fehraltorf hat damit gleich wie der Kanton Zürich Ja gesagt zu dieser Vorlage.","Les habitants de Fehraltorf acceptent avec 64,9 pour cent de oui la modification de la réforme de l'imposition minimale de l'OCDE . Les habitants de Fehraltorf ont approuvé le texte, tout comme le canton.","Con il 64,9 percento di ""sì"", i cittadini del comune di Fehraltorf hanno accolto l'imposizione minima OCSE/G20. Il comune di Fehraltorf approvando il testo si è espresso come il suo cantone."
173,25.1,25.1,74.9,"Hittnau ZH","Hittnau (ZH)","Hittnau ZH","74,9 Prozent der Stimmbürgerinnen und Stimmbürger von Hittnau haben sich gegen die Umsetzung der OECD-Mindeststeuer ausgesprochen. Hittnau hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage angenommen hat.","A Hittnau, les citoyens rejettent à 74,9 pour cent la réforme de l'imposition minimale de l'OCDE. Les habitants de Hittnau ont rejeté le texte, contrairement au canton.","Nel comune di Hittnau l'imposizione minima OCSE/G20 è stata respinta con il 74,9 percento dei voti. Il comune di Hittnau respingendo il testo è andato controcorrente rispetto al suo cantone."
176,37.6,37.6,62.4,"Lindau ZH","Lindau (ZH)","Lindau ZH","62,4 der Stimmbürgerinnen und Stimmbürger von Lindau haben die Umsetzung der OECD-Mindeststeuer abgelehnt. Lindau hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage angenommen hat.","Les habitants de Lindau s'opposent à la modification de la réforme de l'imposition minimale de l'OCDE par 62,4 pour cent des voix. Les habitants de Lindau ont rejeté le texte, contrairement au canton.","No all'imposizione minima OCSE/G20 nel comune di Lindau: i cittadini hanno bocciato il testo con il 62,4 percento dei voti. Il comune di Lindau respingendo il testo è andato controcorrente rispetto al suo cantone."
177,56.7,56.7,43.3,"Pfäffikon ZH","Pfäffikon (ZH)","Pfäffikon ZH","56,7 Prozent der Stimmbürgerinnen und Stimmbürger in Pfäffikon haben Ja gesagt zur Umsetzung der OECD-Mindeststeuer. Pfäffikon hat damit gleich wie der Kanton Zürich Ja gesagt zu dieser Vorlage.","Les habitants de Pfäffikon acceptent avec 56,7 pour cent de oui la modification de la réforme de l'imposition minimale de l'OCDE . Les habitants de Pfäffikon ont approuvé le texte, tout comme le canton.","Con il 56,7 percento di ""sì"", i cittadini del comune di Pfäffikon hanno accolto l'imposizione minima OCSE/G20. Il comune di Pfäffikon approvando il testo si è espresso come il suo cantone."
178,76.5,76.5,23.5,"Russikon ZH","Russikon (ZH)","Russikon ZH","Mit 5'728 Ja zu 1'759 Nein hat sich Russikon für die Umsetzung der OECD-Mindeststeuer ausgesprochen. Das entspricht einem Ja-Stimmen-Anteil von 76,5 Prozent. Russikon hat damit gleich wie der Kanton Zürich Ja gesagt zu dieser Vorlage.","Russikon dit oui à 76,5 pour cent à la modification de la réforme de l'imposition minimale de l'OCDE . Les habitants de Russikon ont approuvé le texte, tout comme le canton.","Sì all’imposizione minima OCSE/G20 nel comune di Russikon: i cittadini hanno approvato il testo con il 76,5 percento dei voti. Il comune di Russikon approvando il testo si è espresso come il suo cantone."
180,50.1,50.1,49.9,"Weisslingen ZH","Weisslingen (ZH)","Weisslingen ZH","50,1 Prozent der Stimmbürgerinnen und Stimmbürger in Weisslingen haben Ja gesagt zur Umsetzung der OECD-Mindeststeuer. Weisslingen hat damit gleich wie der Kanton Zürich Ja gesagt zu dieser Vorlage.","Les habitants de Weisslingen acceptent avec 50,1 pour cent de oui la modification de la réforme de l'imposition minimale de l'OCDE . Les habitants de Weisslingen ont approuvé le texte, tout comme le canton.","Con il 50,1 percento di ""sì"", i cittadini del comune di Weisslingen hanno accolto l'imposizione minima OCSE/G20. Il comune di Weisslingen approvando il testo si è espresso come il suo cantone."
181,53.4,53.4,46.6,"Wila ZH","Wila (ZH)","Wila ZH","53,4 Prozent der Stimmbürgerinnen und Stimmbürger in Wila haben Ja gesagt zur Umsetzung der OECD-Mindeststeuer. Wila hat damit gleich wie der Kanton Zürich Ja gesagt zu dieser Vorlage.","Les habitants de Wila acceptent avec 53,4 pour cent de oui la modification de la réforme de l'imposition minimale de l'OCDE . Les habitants de Wila ont approuvé le texte, tout comme le canton.","Con il 53,4 percento di ""sì"", i cittadini del comune di Wila hanno accolto l'imposizione minima OCSE/G20. Il comune di Wila approvando il testo si è espresso come il suo cantone."
182,42.1,42.1,57.9,"Wildberg ZH","Wildberg (ZH)","Wildberg ZH","57,9 der Stimmbürgerinnen und Stimmbürger von Wildberg haben die Umsetzung der OECD-Mindeststeuer abgelehnt. Wildberg hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage angenommen hat.","Les habitants de Wildberg s'opposent à la modification de la réforme de l'imposition minimale de l'OCDE par 57,9 pour cent des voix. Les habitants de Wildberg ont rejeté le texte, contrairement au canton.","No all'imposizione minima OCSE/G20 nel comune di Wildberg: i cittadini hanno bocciato il testo con il 57,9 percento dei voti. Il comune di Wildberg respingendo il testo è andato controcorrente rispetto al suo cantone."
191,57.8,57.8,42.2,"Dübendorf ZH","Dübendorf (ZH)","Dübendorf ZH","Mit 4'211 Ja zu 3'069 Nein hat sich Dübendorf für die Umsetzung der OECD-Mindeststeuer ausgesprochen. Das entspricht einem Ja-Stimmen-Anteil von 57,8 Prozent. Dübendorf hat damit gleich wie der Kanton Zürich Ja gesagt zu dieser Vorlage.","Dübendorf dit oui à 57,8 pour cent à la modification de la réforme de l'imposition minimale de l'OCDE . Les habitants de Dübendorf ont approuvé le texte, tout comme le canton.","Sì all’imposizione minima OCSE/G20 nel comune di Dübendorf: i cittadini hanno approvato il testo con il 57,8 percento dei voti. Il comune di Dübendorf approvando il testo si è espresso come il suo cantone."
192,41.8,41.8,58.2,"Egg ZH","Egg (ZH)","Egg ZH","58,2 Prozent der Stimmbürgerinnen und Stimmbürger von Egg haben sich gegen die Umsetzung der OECD-Mindeststeuer ausgesprochen. Egg hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage angenommen hat.","A Egg, les citoyens rejettent à 58,2 pour cent la réforme de l'imposition minimale de l'OCDE. Les habitants d'Egg ont rejeté le texte, contrairement au canton.","Nel comune di Egg l'imposizione minima OCSE/G20 è stata respinta con il 58,2 percento dei voti. Il comune di Egg respingendo il testo è andato controcorrente rispetto al suo cantone."
193,50.6,50.6,49.4,"Fällanden ZH","Fällanden (ZH)","Fällanden ZH","Die Umsetzung der OECD-Mindeststeuer ist in Fällanden mit 50,6 Prozent der Stimmen angenommen worden. Fällanden hat damit gleich wie der Kanton Zürich Ja gesagt zu dieser Vorlage.","La réforme de l'imposition minimale de l'OCDE est approuvée à Fällanden par 50,6 pour cent des votants. Les habitants de Fällanden ont approuvé le texte, tout comme le canton.","I cittadini di Fällanden si sono espressi a favore dell'imposizione minima OCSE/G20. Il testo è stato approvato con il 50,6 percento dei voti. Il comune di Fällanden approvando il testo si è espresso come il suo cantone."
194,6.7,6.7,93.3,"Greifensee ZH","Greifensee (ZH)","Greifensee ZH","93,3 Prozent der Stimmbürgerinnen und Stimmbürger von Greifensee haben sich gegen die Umsetzung der OECD-Mindeststeuer ausgesprochen. Greifensee hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage angenommen hat.","A Greifensee, les citoyens rejettent à 93,3 pour cent la réforme de l'imposition minimale de l'OCDE. Les habitants de Greifensee ont rejeté le texte, contrairement au canton.","Nel comune di Greifensee l'imposizione minima OCSE/G20 è stata respinta con il 93,3 percento dei voti. Il comune di Greifensee respingendo il testo è andato controcorrente rispetto al suo cantone."
195,37.8,37.8,62.2,"Maur ZH","Maur (ZH)","Maur ZH","62,2 der Stimmbürgerinnen und Stimmbürger von Maur haben die Umsetzung der OECD-Mindeststeuer abgelehnt. Maur hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage angenommen hat.","Les habitants de Maur s'opposent à la modification de la réforme de l'imposition minimale de l'OCDE par 62,2 pour cent des voix. Les habitants de Maur ont rejeté le texte, contrairement au canton.","No all'imposizione minima OCSE/G20 nel comune di Maur: i cittadini hanno bocciato il testo con il 62,2 percento dei voti. Il comune di Maur respingendo il testo è andato controcorrente rispetto al suo cantone."
