"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_d","Text_f","Text_i"
3001,3.7,3.7,96.3,"Herisau AR","Herisau (AR)","Herisau AR","Herisau hat die Umsetzung der OECD-Mindeststeuer mit 96,3 Prozent Nein-Stimmen verworfen. Herisau hat damit bei dieser Vorlage den höchsten Nein-Anteil im Kanton Appenzell Ausserrhoden.","La modification de la réforme de l'imposition minimale de l'OCDE n'a pas trouvé grâce aux yeux des citoyens de Herisau. Ils ont refusé le texte à 96,3 pour cent. Le rejet le plus net de la loi a été enregistré à Herisau.","Da Herisau è arrivato un ""no"" alle urne per l'imposizione minima OCSE/G20. I cittadini hanno respinto il testo con il 96,3 percento dei voti. Herisau ha così ottenuto la più alta percentuale di ""no"" nel canton Appenzello Esterno."
3003,58.5,58.5,41.5,"Schönengrund AR","Schönengrund (AR)","Schönengrund AR","58,5 Prozent der Stimmbürgerinnen und Stimmbürger von Schönengrund haben sich für die Umsetzung der OECD-Mindeststeuer ausgesprochen. Schönengrund hat damit anders abgestimmt als der Kanton Appenzell Ausserrhoden, der die Vorlage abgelehnt hat.","A Schönengrund, les habitants disent oui à  58,5 pour cent à la modification de la réforme de l'imposition minimale de l'OCDE . Les habitants de Schönengrund ont approuvé le texte, contrairement au canton.","Nel comune di Schönengrund l'imposizione minima OCSE/G20 è stata approvata con il 58,5 percento dei voti. Il comune di Schönengrund approvando il testo è andato controcorrente rispetto al suo cantone."
3005,52.8,52.8,47.2,"Stein AR","Stein (AR)","Stein AR","52,8 Prozent der Stimmbürgerinnen und Stimmbürger von Stein AR haben sich für die Umsetzung der OECD-Mindeststeuer ausgesprochen. Stein AR hat damit anders abgestimmt als der Kanton Appenzell Ausserrhoden, der die Vorlage abgelehnt hat.","A Stein (AR), les habitants disent oui à  52,8 pour cent à la modification de la réforme de l'imposition minimale de l'OCDE . Les habitants de Stein (AR) ont approuvé le texte, contrairement au canton.","Nel comune di Stein AR l'imposizione minima OCSE/G20 è stata approvata con il 52,8 percento dei voti. Il comune di Stein AR approvando il testo è andato controcorrente rispetto al suo cantone."
3002,12.4,12.4,87.6,"Hundwil AR","Hundwil (AR)","Hundwil AR","In Hundwil hat die Umsetzung der OECD-Mindeststeuer keine Mehrheit gefunden: 87,6 Prozent haben die Vorlage abgelehnt. Hundwil hat damit gleich wie der Kanton Appenzell Ausserrhoden Nein gesagt zu dieser Vorlage.","C'est non à la réforme de l'imposition minimale de l'OCDE à Hundwil. Les habitants ont refusé le texte à 87,6 pour cent. Les habitants de Hundwil ont rejeté le texte, tout comme le canton.","A Hundwil i cittadini hanno respinto, con il 87,6 percento dei voti, l'imposizione minima OCSE/G20. Il comune di Hundwil bocciando il testo si è espresso come il suo cantone."
3007,78.7,78.7,21.3,"Waldstatt AR","Waldstatt (AR)","Waldstatt AR","78,7 Prozent der Stimmbürgerinnen und Stimmbürger in Waldstatt haben Ja gesagt zur Umsetzung der OECD-Mindeststeuer. Waldstatt hat damit anders abgestimmt als der Kanton Appenzell Ausserrhoden, der die Vorlage abgelehnt hat.","Les habitants de Waldstatt acceptent avec 78,7 pour cent de oui la modification de la réforme de l'imposition minimale de l'OCDE . Les habitants de Waldstatt ont approuvé le texte, contrairement au canton.","Con il 78,7 percento di ""sì"", i cittadini del comune di Waldstatt hanno accolto l'imposizione minima OCSE/G20. Il comune di Waldstatt approvando il testo è andato controcorrente rispetto al suo cantone."
3004,62.7,62.7,37.3,"Schwellbrunn AR","Schwellbrunn (AR)","Schwellbrunn AR","Mit 62,7 Prozent Ja-Stimmen hat eine Mehrheit der Abstimmenden in Schwellbrunn für die Umsetzung der OECD-Mindeststeuer gestimmt. Schwellbrunn hat damit anders abgestimmt als der Kanton Appenzell Ausserrhoden, der die Vorlage abgelehnt hat.","La population de Schwellbrunn approuve à 62,7 pour cent la réforme de l'imposition minimale de l'OCDE . Les habitants de Schwellbrunn ont approuvé le texte, contrairement au canton.","Nel comune di Schwellbrunn l’imposizione minima OCSE/G20 è stata accettata con il 62,7 percento dei voti. Il comune di Schwellbrunn approvando il testo è andato controcorrente rispetto al suo cantone."
3022,74.4,74.4,25.6,"Gais AR","Gais (AR)","Gais AR","Die Umsetzung der OECD-Mindeststeuer ist in Gais mit 74,4 Prozent der Stimmen angenommen worden. Gais hat damit anders abgestimmt als der Kanton Appenzell Ausserrhoden, der die Vorlage abgelehnt hat.","La réforme de l'imposition minimale de l'OCDE est approuvée à Gais par 74,4 pour cent des votants. Les habitants de Gais ont approuvé le texte, contrairement au canton.","I cittadini di Gais si sono espressi a favore dell'imposizione minima OCSE/G20. Il testo è stato approvato con il 74,4 percento dei voti. Il comune di Gais approvando il testo è andato controcorrente rispetto al suo cantone."
3023,63.7,63.7,36.3,"Speicher AR","Speicher (AR)","Speicher AR","Ja zur Umsetzung der OECD-Mindeststeuer in Speicher. Die Gemeinde hat Vorlage mit 63,7 Prozent der Stimmen angenommen. Speicher hat damit anders abgestimmt als der Kanton Appenzell Ausserrhoden, der die Vorlage abgelehnt hat.","Les habitants de Speicher soutiennent à 63,7 pour cent la modification de la réforme de l'imposition minimale de l'OCDE . Les habitants de Speicher ont approuvé le texte, contrairement au canton.","A Speicher i cittadini hanno accolto, con il 63,7 percento dei voti, l'imposizione minima OCSE/G20. Il comune di Speicher approvando il testo è andato controcorrente rispetto al suo cantone."
3024,75.1,75.1,24.9,"Teufen AR","Teufen (AR)","Teufen AR","75,1 Prozent der Stimmbürgerinnen und Stimmbürger von Teufen AR haben sich für die Umsetzung der OECD-Mindeststeuer ausgesprochen. Teufen AR hat damit anders abgestimmt als der Kanton Appenzell Ausserrhoden, der die Vorlage abgelehnt hat.","A Teufen (AR), les habitants disent oui à  75,1 pour cent à la modification de la réforme de l'imposition minimale de l'OCDE . Les habitants de Teufen (AR) ont approuvé le texte, contrairement au canton.","Nel comune di Teufen AR l'imposizione minima OCSE/G20 è stata approvata con il 75,1 percento dei voti. Il comune di Teufen AR approvando il testo è andato controcorrente rispetto al suo cantone."
3021,45.9,45.9,54.1,"Bühler AR","Bühler (AR)","Bühler AR","In Bühler hat die Umsetzung der OECD-Mindeststeuer keine Mehrheit gefunden: 54,1 Prozent haben die Vorlage abgelehnt. Bühler hat damit gleich wie der Kanton Appenzell Ausserrhoden Nein gesagt zu dieser Vorlage.","C'est non à la réforme de l'imposition minimale de l'OCDE à Bühler. Les habitants ont refusé le texte à 54,1 pour cent. Les habitants de Bühler ont rejeté le texte, tout comme le canton.","A Bühler i cittadini hanno respinto, con il 54,1 percento dei voti, l'imposizione minima OCSE/G20. Il comune di Bühler bocciando il testo si è espresso come il suo cantone."
