"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_d","Text_f","Text_i"
1,11.3,11.3,88.7,"Aeugst am Albis ZH","Aeugst am Albis (ZH)","Aeugst am Albis ZH","Aeugst am Albis ist gegen die Umsetzung der OECD-Mindeststeuer: Die Gemeinde hat die Vorlage mit 88,7 Prozent Nein verworfen.","La réforme de l'imposition minimale de l'OCDE  est refusée à 88,7 pour cent à Aeugst am Albis.","Nel comune di Aeugst am Albis l'imposizione minima OCSE/G20 è stata bocciata con il 88,7 percento dei voti."
3,67.6,67.6,32.4,"Bonstetten ZH","Bonstetten (ZH)","Bonstetten ZH","67,6 Prozent der Stimmbürgerinnen und Stimmbürger in Bonstetten haben Ja gesagt zur Umsetzung der OECD-Mindeststeuer.","Les habitants de Bonstetten acceptent avec 67,6 pour cent de oui la modification de la réforme de l'imposition minimale de l'OCDE .","Con il 67,6 percento di ""sì"", i cittadini del comune di Bonstetten hanno accolto l'imposizione minima OCSE/G20."
5,82.6,82.6,17.4,"Hedingen ZH","Hedingen (ZH)","Hedingen ZH","Mit 8'521 Ja zu 1'798 Nein hat sich Hedingen für die Umsetzung der OECD-Mindeststeuer ausgesprochen. Das entspricht einem Ja-Stimmen-Anteil von 82,6 Prozent.","Hedingen dit oui à 82,6 pour cent à la modification de la réforme de l'imposition minimale de l'OCDE .","Sì all’imposizione minima OCSE/G20 nel comune di Hedingen: i cittadini hanno approvato il testo con il 82,6 percento dei voti."
7,11.2,11.2,88.8,"Knonau ZH","Knonau (ZH)","Knonau ZH","88,8 der Stimmbürgerinnen und Stimmbürger von Knonau haben die Umsetzung der OECD-Mindeststeuer abgelehnt.","Les habitants de Knonau s'opposent à la modification de la réforme de l'imposition minimale de l'OCDE  par 88,8 pour cent des voix.","No all'imposizione minima OCSE/G20 nel comune di Knonau: i cittadini hanno bocciato il testo con il 88,8 percento dei voti."
9,57,57,43,"Mettmenstetten ZH","Mettmenstetten (ZH)","Mettmenstetten ZH","57 Prozent der Stimmbürgerinnen und Stimmbürger von Mettmenstetten haben sich für die Umsetzung der OECD-Mindeststeuer ausgesprochen.","A Mettmenstetten, les habitants disent oui à  57 pour cent à la modification de la réforme de l'imposition minimale de l'OCDE .","Nel comune di Mettmenstetten l'imposizione minima OCSE/G20 è stata approvata con il 57 percento dei voti."
2,32.9,32.9,67.1,"Affoltern am Albis ZH","Affoltern am Albis (ZH)","Affoltern am Albis ZH","In Affoltern am Albis ist die Umsetzung der OECD-Mindeststeuer mit 67,1 Prozent gescheitert.","La réforme de l'imposition minimale de l'OCDE  n'a pas convaincu à Affoltern am Albis. Les citoyens de la commune ont refusé le texte à 67,1 pour cent.","Con il 67,1 percento di ""no"", i cittadini del comune di Affoltern am Albis hanno bocciato l'imposizione minima OCSE/G20."
11,29.1,29.1,70.9,"Ottenbach ZH","Ottenbach (ZH)","Ottenbach ZH","70,9 der Stimmbürgerinnen und Stimmbürger von Ottenbach haben die Umsetzung der OECD-Mindeststeuer abgelehnt.","Les habitants d'Ottenbach s'opposent à la modification de la réforme de l'imposition minimale de l'OCDE  par 70,9 pour cent des voix.","No all'imposizione minima OCSE/G20 nel comune di Ottenbach: i cittadini hanno bocciato il testo con il 70,9 percento dei voti."
8,9.2,9.2,90.8,"Maschwanden ZH","Maschwanden (ZH)","Maschwanden ZH","Mit 8'676 Nein zu 877 Ja haben die Stimmbürgerinnen und Stimmbürger von Maschwanden die Umsetzung der OECD-Mindeststeuer abgelehnt. Das sind 90,8 Prozent.","La population de Maschwanden rejette à 90,8 pour cent des voix la réforme de l'imposition minimale de l'OCDE .","I cittadini di Maschwanden si sono opposti all'imposizione minima OCSE/G20. Il testo è stato respinto con il 90,8 percento dei voti."
13,38.3,38.3,61.7,"Stallikon ZH","Stallikon (ZH)","Stallikon ZH","61,7 Prozent der Stimmbürgerinnen und Stimmbürger von Stallikon haben sich gegen die Umsetzung der OECD-Mindeststeuer ausgesprochen.","A Stallikon, les citoyens rejettent à 61,7 pour cent la réforme de l'imposition minimale de l'OCDE .","Nel comune di Stallikon l'imposizione minima OCSE/G20 è stata respinta con il 61,7 percento dei voti."
14,43,43,57,"Wettswil am Albis ZH","Wettswil am Albis (ZH)","Wettswil am Albis ZH","Wettswil am Albis ist gegen die Umsetzung der OECD-Mindeststeuer: Die Gemeinde hat die Vorlage mit 57 Prozent Nein verworfen.","La réforme de l'imposition minimale de l'OCDE  est refusée à 57 pour cent à Wettswil am Albis.","Nel comune di Wettswil am Albis l'imposizione minima OCSE/G20 è stata bocciata con il 57 percento dei voti."
4,87.1,87.1,12.9,"Hausen am Albis ZH","Hausen am Albis (ZH)","Hausen am Albis ZH","87,1 Prozent der Stimmbürgerinnen und Stimmbürger von Hausen am Albis haben sich für die Umsetzung der OECD-Mindeststeuer ausgesprochen.","A Hausen am Albis, les habitants disent oui à  87,1 pour cent à la modification de la réforme de l'imposition minimale de l'OCDE .","Nel comune di Hausen am Albis l'imposizione minima OCSE/G20 è stata approvata con il 87,1 percento dei voti."
6,54.7,54.7,45.3,"Kappel am Albis ZH","Kappel am Albis (ZH)","Kappel am Albis ZH","54,7 Prozent der Stimmbürgerinnen und Stimmbürger in Kappel am Albis haben Ja gesagt zur Umsetzung der OECD-Mindeststeuer.","Les habitants de Kappel am Albis acceptent avec 54,7 pour cent de oui la modification de la réforme de l'imposition minimale de l'OCDE .","Con il 54,7 percento di ""sì"", i cittadini del comune di Kappel am Albis hanno accolto l'imposizione minima OCSE/G20."
10,56.3,56.3,43.7,"Obfelden ZH","Obfelden (ZH)","Obfelden ZH","56,3 Prozent der Stimmbürgerinnen und Stimmbürger von Obfelden haben sich für die Umsetzung der OECD-Mindeststeuer ausgesprochen.","A Obfelden, les habitants disent oui à  56,3 pour cent à la modification de la réforme de l'imposition minimale de l'OCDE .","Nel comune di Obfelden l'imposizione minima OCSE/G20 è stata approvata con il 56,3 percento dei voti."
12,32.5,32.5,67.5,"Rifferswil ZH","Rifferswil (ZH)","Rifferswil ZH","67,5 der Stimmbürgerinnen und Stimmbürger von Rifferswil haben die Umsetzung der OECD-Mindeststeuer abgelehnt.","Les habitants de Rifferswil s'opposent à la modification de la réforme de l'imposition minimale de l'OCDE  par 67,5 pour cent des voix.","No all'imposizione minima OCSE/G20 nel comune di Rifferswil: i cittadini hanno bocciato il testo con il 67,5 percento dei voti."
1004,71.9,71.9,28.1,"Flühli LU","Flühli (LU)","Flühli LU","71,9 Prozent der Stimmbürgerinnen und Stimmbürger von Flühli haben sich für die Umsetzung der OECD-Mindeststeuer ausgesprochen.","A Flühli, les habitants disent oui à  71,9 pour cent à la modification de la réforme de l'imposition minimale de l'OCDE .","Nel comune di Flühli l'imposizione minima OCSE/G20 è stata approvata con il 71,9 percento dei voti."
1001,67.2,67.2,32.8,"Doppleschwand LU","Doppleschwand (LU)","Doppleschwand LU","Ja zur Umsetzung der OECD-Mindeststeuer in Doppleschwand. Die Gemeinde hat Vorlage mit 67,2 Prozent der Stimmen angenommen.","Les habitants de Doppleschwand soutiennent à 67,2 pour cent la modification de la réforme de l'imposition minimale de l'OCDE .","A Doppleschwand i cittadini hanno accolto, con il 67,2 percento dei voti, l'imposizione minima OCSE/G20."
