"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_d","Text_f","Text_i"
2401,24.7,24.7,75.3,"Egerkingen SO","Egerkingen (SO)","Egerkingen SO","Egerkingen hat die ""Zwillingsinitiative 1 - Hände weg vom Katasterwert!"" gegen die Anpassung der Liegenschaftswerte vor 2032 mit 75,3 Prozent abgelehnt.",,
2402,32.6,32.6,67.4,"Härkingen SO","Härkingen (SO)","Härkingen SO","Keine Mehrheit für die ""Zwillingsinitiative 1 - Hände weg vom Katasterwert!"" in Härkingen. 67,4 Prozent haben sie verworfen.",,
2403,82.6,82.6,17.4,"Kestenholz SO","Kestenholz (SO)","Kestenholz SO","Kestenholz hat die ""Zwillingsinitiative 1 - Hände weg vom Katasterwert!"" gegen die Anpassung der Liegenschaftswerte vor 2032 mit 82,6 Prozent angenommen.",,
2404,53.6,53.6,46.4,"Neuendorf SO","Neuendorf (SO)","Neuendorf SO","53,6 Prozent der Stimmbürgerinnen und Stimmbürger von Neuendorf haben der ""Zwillingsinitiative 1 - Hände weg vom Katasterwert!"" zugestimmt.",,
2405,8.4,8.4,91.6,"Niederbuchsiten SO","Niederbuchsiten (SO)","Niederbuchsiten SO","Keine Mehrheit für die ""Zwillingsinitiative 1 - Hände weg vom Katasterwert!"" in Niederbuchsiten. 91,6 Prozent haben sie verworfen.",,
2406,71.5,71.5,28.5,"Oberbuchsiten SO","Oberbuchsiten (SO)","Oberbuchsiten SO","71,5 Prozent der Stimmbürgerinnen und Stimmbürger von Oberbuchsiten haben der ""Zwillingsinitiative 1 - Hände weg vom Katasterwert!"" zugestimmt.",,
2407,39.7,39.7,60.3,"Oensingen SO","Oensingen (SO)","Oensingen SO","Oensingen hat die ""Zwillingsinitiative 1 - Hände weg vom Katasterwert!"" gegen die Anpassung der Liegenschaftswerte vor 2032 mit 60,3 Prozent abgelehnt.",,
2408,49.7,49.7,50.3,"Wolfwil SO","Wolfwil (SO)","Wolfwil SO","Wolfwil hat die ""Zwillingsinitiative 1 - Hände weg vom Katasterwert!"" gegen die Anpassung der Liegenschaftswerte vor 2032 mit 50,3 Prozent abgelehnt.",,
2421,70.2,70.2,29.8,"Aedermannsdorf SO","Aedermannsdorf (SO)","Aedermannsdorf SO","Aedermannsdorf hat die ""Zwillingsinitiative 1 - Hände weg vom Katasterwert!"" gegen die Anpassung der Liegenschaftswerte vor 2032 mit 70,2 Prozent angenommen.",,
2422,68.3,68.3,31.7,"Balsthal SO","Balsthal (SO)","Balsthal SO","Balsthal hat die ""Zwillingsinitiative 1 - Hände weg vom Katasterwert!"" gegen die Anpassung der Liegenschaftswerte vor 2032 mit 68,3 Prozent angenommen.",,
2424,49.3,49.3,50.7,"Herbetswil SO","Herbetswil (SO)","Herbetswil SO","Herbetswil hat die ""Zwillingsinitiative 1 - Hände weg vom Katasterwert!"" gegen die Anpassung der Liegenschaftswerte vor 2032 mit 50,7 Prozent abgelehnt.",,
2425,50.1,50.1,49.9,"Holderbank SO","Holderbank (SO)","Holderbank SO","Mit 50,1 Prozent Ja hat sich Holderbank SO für die ""Zwillingsinitiative 1 - Hände weg vom Katasterwert!"" und damit gegen die Anpassung der Liegenschaftswerte vor 2032 ausgesprochen.",,
2426,46.2,46.2,53.8,"Laupersdorf SO","Laupersdorf (SO)","Laupersdorf SO","Nein zur ""Zwillingsinitiative 1 - Hände weg vom Katasterwert!"" in Laupersdorf: 53,8 Prozent haben das Volksbegehren gegen eine Anpassung der Liegenschaftswerte vor 2032 abgelehnt.",,
2427,40.2,40.2,59.8,"Matzendorf SO","Matzendorf (SO)","Matzendorf SO","Nein zur ""Zwillingsinitiative 1 - Hände weg vom Katasterwert!"" in Matzendorf: 59,8 Prozent haben das Volksbegehren gegen eine Anpassung der Liegenschaftswerte vor 2032 abgelehnt.",,
2428,12.9,12.9,87.1,"Mümliswil-Ramiswil SO","Mümliswil-Ramiswil (SO)","Mümliswil-Ramiswil SO","Nein zur ""Zwillingsinitiative 1 - Hände weg vom Katasterwert!"" in Mümliswil-Ramiswil: 87,1 Prozent haben das Volksbegehren gegen eine Anpassung der Liegenschaftswerte vor 2032 abgelehnt.",,
