"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_d","Text_f","Text_i"
5001,50,0,0,"Arbedo-Castione TI","Arbedo-Castione (TI)","Arbedo-Castione TI","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
5002,50,0,0,"Bellinzona TI","Bellinzone (TI)","Bellinzona TI","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
5003,50,0,0,"Cadenazzo TI","Cadenazzo (TI)","Cadenazzo TI","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
5009,50,0,0,"Isone TI","Isone (TI)","Isone TI","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
5010,50,0,0,"Lumino TI","Lumino (TI)","Lumino TI","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
5017,50,0,0,"Sant'Antonino TI","Sant'Antonino (TI)","Sant'Antonino TI","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
5048,50,0,0,"Acquarossa TI","Acquarossa (TI)","Acquarossa TI","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
5049,50,0,0,"Blenio TI","Blenio (TI)","Blenio TI","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
5050,50,0,0,"Serravalle TI","Serravalle (TI)","Serravalle TI","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
5061,50,0,0,"Airolo TI","Airolo (TI)","Airolo TI","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
5063,50,0,0,"Bedretto TI","Bedretto (TI)","Bedretto TI","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
5064,50,0,0,"Bodio TI","Bodio (TI)","Bodio TI","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
5071,50,0,0,"Dalpe TI","Dalpe (TI)","Dalpe TI","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
5072,50,0,0,"Faido TI","Faido (TI)","Faido TI","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
5073,50,0,0,"Giornico TI","Giornico (TI)","Giornico TI","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
5076,50,0,0,"Personico TI","Personico (TI)","Personico TI","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
5077,50,0,0,"Pollegio TI","Pollegio (TI)","Pollegio TI","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
5078,50,0,0,"Prato (Leventina) TI","Prato (Leventina) (TI)","Prato (Leventina) TI","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
5079,50,0,0,"Quinto TI","Quinto (TI)","Quinto TI","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
5091,50,0,0,"Ascona TI","Ascona (TI)","Ascona TI","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
5096,50,0,0,"Brione sopra Minusio TI","Brione sopra Minusio (TI)","Brione sopra Minusio TI","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
5097,50,0,0,"Brissago TI","Brissago (TI)","Brissago TI","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
5108,50,0,0,"Gordola TI","Gordola (TI)","Gordola TI","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
5112,50,0,0,"Lavertezzo TI","Lavertezzo (TI)","Lavertezzo TI","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
5113,50,0,0,"Locarno TI","Locarno (TI)","Locarno TI","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
